sample,mass,salinity,Sample.ID,Type, Notes
20190723_JUNK,59.8837,28,JUNK,JUNK,
20190723_CRM1,59.128,33.623,CRM1,CRM,Bottle #180-0823; TA = 2224.47
20190723_CRM2,59.2845,33.623,CRM2,CRM,Bottle #180-0823; TA = 2224.47
