sample,mass,salinity,Sample.ID,Type, Notes
20190723_H1_T1,59.0707,29.19,H1_T1,tray,
20190723_H1_T2,59.7637,29.14,H1_T2,tray,
20190723_H1_T3,59.7515,29.15,H1_T3,tray,
20190723_H1_T4,59.7292,29.12,H1_T4,tray,
20190723_H1_T5,59.3066,29.17,H1_T5,tray,
20190723_H1_T6,59.9469,29.11,H1_T6,tray,
20190723_H1_T7,59.8325,29.16,H1_T7,tray,
20190723_H1_T8,59.7364,29.12,H1_T8,tray,
