Well,480
A1,1.139
B1,1.849
C1,1.132
D1,1.531
E1,1.405
F1,0.767
G1,0.775
H1,0.045
A2,1.124
B2,1.848
C2,1.119
D2,1.562
E2,1.425
F2,0.761
G2,0.794
H2,0.045
A3,2.402
B3,1.028
C3,2.206
D3,1.103
E3,0.966
F3,0.875
G3,0.635
H3,0.048
A4,2.297
B4,1.062
C4,2.18
D4,1.073
E4,0.985
F4,0.881
G4,0.627
H4,0.047
A5,1.748
B5,1.199
C5,1.211
D5,0.716
E5,1.622
F5,0.825
G5,2.451
H5,0.047
A6,1.794
B6,1.203
C6,1.215
D6,0.72
E6,1.566
F6,0.817
G6,2.553
H6,0.046
A7,1.215
B7,1.213
C7,3.134
D7,3.12
E7,1.268
F7,0.562
G7,1.002
H7,0.045
A8,1.184
B8,1.185
C8,3.067
D8,2.981
E8,1.246
F8,0.563
G8,0.968
H8,0.046
A9,1.1
B9,1.337
C9,1.288
D9,0.755
E9,0.909
F9,0.842
G9,1.95
H9,0.048
A10,1.107
B10,1.386
C10,1.258
D10,0.754
E10,0.893
F10,0.839
G10,1.973
H10,0.049
A11,1.686
B11,0.946
C11,0.738
D11,1.663
E11,1.017
F11,2.013
G11,0.046
H11,0.045
A12,1.714
B12,0.964
C12,0.742
D12,1.656
E12,1.015
F12,2.007
G12,0.045
H12,0.046
