Well,480
A1,2.944
B1,0.871
C1,1.342
D1,1.571
E1,0.045
F1,0.046
G1,0.045
H1,0.046
A2,3.013
B2,0.877
C2,1.365
D2,1.58
E2,0.046
F2,0.046
G2,0.046
H2,0.047
A3,2.483
B3,0.747
C3,2.237
D3,1.35
E3,0.046
F3,0.046
G3,0.046
H3,0.047
A4,2.518
B4,0.741
C4,2.26
D4,1.383
E4,0.045
F4,0.048
G4,0.046
H4,0.047
A5,1.947
B5,0.726
C5,1.67
D5,0.046
E5,0.045
F5,0.046
G5,0.047
H5,0.045
A6,1.96
B6,0.708
C6,1.696
D6,0.045
E6,0.045
F6,0.046
G6,0.047
H6,0.046
A7,1.621
B7,1.416
C7,1.015
D7,0.046
E7,0.045
F7,0.046
G7,0.046
H7,0.046
A8,1.65
B8,1.415
C8,1.024
D8,0.047
E8,0.046
F8,0.046
G8,0.048
H8,0.047
A9,1.377
B9,1.07
C9,1.74
D9,0.046
E9,0.046
F9,0.046
G9,0.046
H9,0.047
A10,1.372
B10,1.092
C10,1.821
D10,0.046
E10,0.046
F10,0.046
G10,0.047
H10,0.048
A11,1.014
B11,1.295
C11,1.09
D11,0.046
E11,0.046
F11,0.046
G11,0.046
H11,0.045
A12,1.052
B12,1.287
C12,1.121
D12,0.045
E12,0.046
F12,0.046
G12,0.046
H12,0.046
