Well,480
A1,1.508
B1,2.13
C1,3.592
D1,2.168
E1,2.007
F1,2.326
G1,1.311
H1,1.638
A2,1.511
B2,2.109
C2,3.468
D2,2.139
E2,2.104
F2,2.315
G2,1.286
H2,1.789
A3,1.291
B3,2.621
C3,1.409
D3,0.921
E3,2.326
F3,1.392
G3,1.702
H3,0.046
A4,1.308
B4,2.611
C4,1.398
D4,0.932
E4,2.388
F4,1.405
G4,1.649
H4,0.046
A5,1.48
B5,1.552
C5,1.112
D5,0.691
E5,2.899
F5,1.453
G5,1.024
H5,0.047
A6,1.504
B6,1.571
C6,1.15
D6,0.698
E6,2.901
F6,1.477
G6,1.036
H6,0.046
A7,1.748
B7,1.157
C7,0.926
D7,3.041
E7,1.337
F7,1.167
G7,2.24
H7,0.045
A8,1.794
B8,1.138
C8,0.937
D8,3.109
E8,1.355
F8,1.167
G8,2.235
H8,0.046
A9,1.25
B9,1.388
C9,0.91
D9,1.297
E9,0.836
F9,1.463
G9,0.906
H9,0.047
A10,1.212
B10,1.453
C10,0.909
D10,1.352
E10,0.892
F10,1.477
G10,0.93
H10,0.048
A11,0.663
B11,2.586
C11,1.718
D11,3.829
E11,OVRFLW
F11,2.151
G11,3.946
H11,0.045
A12,0.67
B12,2.826
C12,1.749
D12,3.805
E12,OVRFLW
F12,2.163
G12,OVRFLW
H12,0.046
