sample,mass,salinity,Sample.ID,Type, Notes
20190806_JUNK,59.6864,28,JUNK,JUNK,
20190806_CRM1,59.1238,33.623,CRM1,CRM, Bottle #180-0764; TA = 2224.47
20190806_CRM2,59.0424,33.623,CRM2,CRM, Bottle #180-0764; TA = 2224.47
