sample,mass,salinity,Sample.ID,Type, Notes
20190725_H1_T1,59.3523,29.21,H1_T1,tank,
20190725_H1_T2,59.4684,29.15,H1_T2,tank,
20190725_H1_T3,59.5265,29.2,H1_T3,tank,
20190725_H1_T4,59.0079,29.17,H1_T4,tank,
20190725_H1_T5,59.4641,29.2,H1_T5,tank,
20190725_H1_T6,59.4063,29.17,H1_T6,tank,
20190725_H1_T7,59.3198,29.21,H1_T7,tank,
20190725_H1_T8,59.4602,29.17,H1_T8,tank,
