sample,mass,salinity,Sample.ID,Type, Notes
20190724_JUNK,59.3281,28,JUNK,JUNK,
20190724_CRM1,59.0481,33.623,CRM1,CRM,NEW Bottle #180-0701; TA = 2224.47
20190724_CRM2,59.1943,33.623,CRM2,CRM,NEW Bottle #180-0701; TA = 2224.47
