sample,mass,salinity,Sample.ID,Type, Notes
20190809_JUNK,59.7151,28,JUNK,JUNK,
20190809_CRM1,59.82,33.623,CRM1,CRM, Bottle #180-0866; TA = 2224.47
20190809_CRM2,59.1631,33.623,CRM2,CRM, Bottle #180-0866; TA = 2224.47
