sample,mass,salinity,Sample.ID,Type, Notes
20190809_14,59.836,29.01,14,tank,
20190809_55,59.4973,29.03,55,tank,
20190809_47,59.6164,29.04,47,tank,
20190809_38,59.7289,29.15,38,tank,
20190809_32,59.7668,29.06,32,tank,
20190809_26,59.9662,29.05,26,tank,
