sample,mass,salinity,Sample.ID,Type, Notes
20190814_JUNK,59.2129,28,JUNK,JUNK,
20190814_CRM1,59.6301,33.623,CRM1,CRM, Bottle #180-0943; TA = 2224.47
20190814_CRM2,59.1762,33.623,CRM2,CRM, Bottle #180-0943; TA = 2224.47
