sample,mass,salinity,Sample.ID,Type, Notes
20190727_JUNK,59.6449,28,JUNK,JUNK,
20190727_CRM1,59.0275,33.623,CRM1,CRM,Bottle #180-0701; TA = 2224.47
20190727_CRM2,59.1628,33.623,CRM2,CRM,Bottle #180-0701; TA = 2224.47
