sample,mass,salinity,Sample.ID,Type, Notes
20190730_JUNK,59.2309,28,JUNK,JUNK,
20190730_CRM1,59.0518,33.623,CRM1,CRM,Bottle #180-0586; TA = 2224.47
20190730_CRM2,59.0229,33.623,CRM2,CRM,Bottle #180-0586; TA = 2224.47
