"Sample.ID","TA","Mass"
"20190716_23",2039.12545211177,59.8986
"20190716_11",2038.82297150349,59.7256
"20190716_26",2037.00820695225,59.658
"20190716_16",2038.18409408277,59.6337
"20190716_28",2035.64526665546,59.637
"20190716_14",2036.17747800727,59.1863
"20190716_7",2036.69092695436,59.3628
"20190716_5",2034.2173545034,59.7629
"20190716_32",2035.36221469653,59.9804
