sample,mass,salinity,Sample.ID,Type, Notes
20190716_JUNK,59.8059,28,JUNK,JUNK,
20190716_CRM1,59.1763,33.623,CRM1,CRM,Bottle #180-0823; TA = 2224.47
20190716_CRM2,59.3077,33.623,CRM2,CRM,Bottle #180-0823; TA = 2224.47
