sample,mass,salinity,Sample.ID,Type, Notes
20190805_JUNK,59.712,28,JUNK,JUNK,
20190805_CRM1,59.1318,33.623,CRM1,CRM, Bottle #180-0764; TA = 2224.47
20190805_CRM2,59.1944,33.623,CRM2,CRM, Bottle #180-0764; TA = 2224.47
