Tube.ID,unknwn,Box.position,Storage.Box.ID
empty,empty,G5,Sam Gurr 2019 Thresholds Geoduck BOX #21
empty,empty,G6,Sam Gurr 2019 Thresholds Geoduck BOX #21
empty,empty,G7,Sam Gurr 2019 Thresholds Geoduck BOX #21
empty,empty,G8,Sam Gurr 2019 Thresholds Geoduck BOX #21
empty,empty,G9,Sam Gurr 2019 Thresholds Geoduck BOX #21
empty,empty,H1,Sam Gurr 2019 Thresholds Geoduck BOX #21
empty,empty,H2,Sam Gurr 2019 Thresholds Geoduck BOX #21
empty,empty,H3,Sam Gurr 2019 Thresholds Geoduck BOX #21
empty,empty,H4,Sam Gurr 2019 Thresholds Geoduck BOX #21
empty,empty,H5,Sam Gurr 2019 Thresholds Geoduck BOX #21
empty,empty,H6,Sam Gurr 2019 Thresholds Geoduck BOX #21
empty,empty,H7,Sam Gurr 2019 Thresholds Geoduck BOX #21
empty,empty,H8,Sam Gurr 2019 Thresholds Geoduck BOX #21
empty,empty,H9,Sam Gurr 2019 Thresholds Geoduck BOX #21
empty,empty,I1,Sam Gurr 2019 Thresholds Geoduck BOX #21
empty,empty,I2,Sam Gurr 2019 Thresholds Geoduck BOX #21
empty,empty,I3,Sam Gurr 2019 Thresholds Geoduck BOX #21
empty,empty,I4,Sam Gurr 2019 Thresholds Geoduck BOX #21
empty,empty,I5,Sam Gurr 2019 Thresholds Geoduck BOX #21
empty,empty,I6,Sam Gurr 2019 Thresholds Geoduck BOX #21
empty,empty,I7,Sam Gurr 2019 Thresholds Geoduck BOX #21
empty,empty,I8,Sam Gurr 2019 Thresholds Geoduck BOX #21
empty,empty,I9,Sam Gurr 2019 Thresholds Geoduck BOX #21
1,,I6,Sam Gurr 2019 Thresholds Geoduck BOX #1
2,,E1,Sam Gurr 2019 Thresholds Geoduck BOX #1
55,,C9,Sam Gurr 2019 Thresholds Geoduck BOX #1
7,,G4,Sam Gurr 2019 Thresholds Geoduck BOX #1
8,,A6,Sam Gurr 2019 Thresholds Geoduck BOX #1
10,,D9,Sam Gurr 2019 Thresholds Geoduck BOX #1
114,,G3,Sam Gurr 2019 Thresholds Geoduck BOX #1
15,,I2,Sam Gurr 2019 Thresholds Geoduck BOX #1
16,,G5,Sam Gurr 2019 Thresholds Geoduck BOX #1
34,,G8,Sam Gurr 2019 Thresholds Geoduck BOX #1
36,,D5,Sam Gurr 2019 Thresholds Geoduck BOX #1
58,,F5,Sam Gurr 2019 Thresholds Geoduck BOX #1
68,,H5,Sam Gurr 2019 Thresholds Geoduck BOX #1
100,,D2,Sam Gurr 2019 Thresholds Geoduck BOX #1
108,,I7,Sam Gurr 2019 Thresholds Geoduck BOX #1
110,,D4,Sam Gurr 2019 Thresholds Geoduck BOX #1
111,,F6,Sam Gurr 2019 Thresholds Geoduck BOX #1
113,,C2,Sam Gurr 2019 Thresholds Geoduck BOX #1
118,,D3,Sam Gurr 2019 Thresholds Geoduck BOX #1
126,,H6,Sam Gurr 2019 Thresholds Geoduck BOX #1
129,,F4,Sam Gurr 2019 Thresholds Geoduck BOX #1
133,,G2,Sam Gurr 2019 Thresholds Geoduck BOX #1
140,,G7,Sam Gurr 2019 Thresholds Geoduck BOX #1
142,,A7,Sam Gurr 2019 Thresholds Geoduck BOX #1
144,,C6,Sam Gurr 2019 Thresholds Geoduck BOX #1
149,,I8,Sam Gurr 2019 Thresholds Geoduck BOX #1
150,,F1,Sam Gurr 2019 Thresholds Geoduck BOX #1
160,,C3,Sam Gurr 2019 Thresholds Geoduck BOX #1
172,,G1,Sam Gurr 2019 Thresholds Geoduck BOX #1
173,,A5,Sam Gurr 2019 Thresholds Geoduck BOX #1
180,,D1,Sam Gurr 2019 Thresholds Geoduck BOX #1
192,,B7,Sam Gurr 2019 Thresholds Geoduck BOX #1
209,,E9,Sam Gurr 2019 Thresholds Geoduck BOX #1
221,,B1,Sam Gurr 2019 Thresholds Geoduck BOX #1
230,,E5,Sam Gurr 2019 Thresholds Geoduck BOX #1
