Well,490:490
A1,1.233
B1,0.082
C1,0.096
D1,0.088
E1,0.18
F1,0.101
G1,0.045
H1,0.047
A2,1.234
B2,0.082
C2,0.095
D2,0.089
E2,0.184
F2,0.1
G2,0.046
H2,0.045
A3,0.653
B3,0.074
C3,0.107
D3,0.041
E3,0.149
F3,0.041
G3,0.046
H3,0.048
A4,0.637
B4,0.073
C4,0.107
D4,0.039
E4,0.153
F4,0.04
G4,0.046
H4,0.045
A5,0.35
B5,0.071
C5,0.1
D5,0.039
E5,0.042
F5,0.114
G5,0.047
H5,0.046
A6,0.352
B6,0.069
C6,0.099
D6,0.04
E6,0.044
F6,0.116
G6,0.045
H6,0.045
A7,0.201
B7,0.066
C7,0.116
D7,0.102
E7,0.11
F7,0.04
G7,0.046
H7,0.045
A8,0.208
B8,0.065
C8,0.118
D8,0.103
E8,0.111
F8,0.041
G8,0.046
H8,0.047
A9,0.134
B9,0.091
C9,0.088
D9,0.175
E9,0.119
F9,0.129
G9,0.045
H9,0.046
A10,0.135
B10,0.094
C10,0.091
D10,0.18
E10,0.123
F10,0.131
G10,0.046
H10,0.048
A11,0.099
B11,0.098
C11,0.071
D11,0.139
E11,0.15
F11,0.115
G11,0.046
H11,0.047
A12,0.098
B12,0.1
C12,0.071
D12,0.145
E12,0.156
F12,0.118
G12,0.045
H12,0.046
