sample,mass,salinity,Sample.ID,Type, Notes
20190804_JUNK,59.6769,28,JUNK,JUNK,
20190804_CRM1,59.0721,33.623,CRM1,CRM, Bottle #180-0764; TA = 2224.47
20190804_CRM2,59.5934,33.623,CRM2,CRM, Bottle #180-0764; TA = 2224.47
