Measurement Name :,20190811_resp_3_Day18,,Generated On :,"11/08/2019, 18:11:20",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000710      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 040
Ref LED current   : 075
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"11/08/2019, 17:50:40",,,,,,Batch No.:  ,PSt5-1814-01,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"11/08/2019, 18:11:10",,,,,,O2_cal0 [°],54.84,,,,,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [°],47.47,,,,,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-710,,,,,,O2_T0 [°C],22.6,,,,,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [°C],22.6,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],968,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
11.08.19 17:50:43,0.05,202.33,201.57,200.06,195.53,201.95,248.65,203.85,189.52,259.1,182.07,255.47,177.63,190.64,203.85,208.8,145.37,192.52,216.48,186.91,262.33,205.37,213.4,204.23,202.33,,17,968,29,17.23,
11.08.19 17:50:58,0.3,203.09,198.92,195.9,192.14,200.06,246.66,201.19,187.65,258.29,180.22,253.86,175.05,191.39,201.95,205.37,142.52,191.39,214.17,185.04,260.71,204.23,212.25,201.57,200.06,,17,968,29,17.29,
11.08.19 17:51:13,0.55,201.57,200.44,193.65,192.52,198.92,245.86,200.81,186.53,258.69,179.11,253.86,174.32,184.3,200.81,207.66,141.46,191.02,213.02,183.56,260.31,203.09,211.48,200.06,199.68,,17,968,29,17.38,
11.08.19 17:51:28,0.8,199.68,198.92,192.52,192.52,197.41,245.46,199.68,185.42,259.91,178.74,253.06,173.58,189.15,200.06,206.13,140.75,189.9,211.48,182.81,259.1,201.57,210.72,198.92,198.54,,17,968,29,17.41,
11.08.19 17:51:43,1.05,193.65,198.17,190.27,191.02,198.92,245.86,198.92,183.93,258.29,178,251.85,172.11,183.19,197.41,204.61,140.04,189.52,210.72,181.33,258.69,200.81,209.95,197.03,197.41,,17,968,29,17.45,
11.08.19 17:51:58,1.3,188.03,196.28,188.03,190.64,195.15,245.46,197.79,182.81,256.27,177.63,251.45,171.38,185.04,193.65,202.33,138.28,189.15,209.19,179.85,258.29,199.68,208.8,195.53,196.66,,17,968,29,17.47,
11.08.19 17:52:13,1.55,185.04,195.15,187.65,191.02,194.4,245.46,198.54,181.33,255.87,176.52,251.85,171.01,187.28,188.03,201.95,137.22,188.4,207.66,179.48,256.68,198.92,208.04,194.77,196.28,,17,968,29,17.5,
11.08.19 17:52:28,1.8,188.03,193.65,184.3,189.15,193.27,245.06,196.66,179.85,255.47,175.79,251.45,170.28,178,182.81,199.3,135.45,187.28,206.51,178.74,256.27,197.79,206.9,193.65,194.4,,17,968,29,17.54,
11.08.19 17:52:43,2.05,189.52,191.77,183.56,186.91,191.02,244.67,198.17,177.63,254.66,174.68,251.45,169.91,184.3,179.11,197.41,133.34,186.16,204.61,178,256.27,196.66,206.51,192.52,193.27,,17,968,29,17.57,
11.08.19 17:52:58,2.3,189.15,191.02,181.33,186.91,192.89,245.06,194.4,176.89,253.86,174.32,251.05,169.18,179.11,176.52,195.9,131.59,185.79,203.47,178,256.27,195.9,205.37,191.77,192.89,,17,968,29,17.59,
11.08.19 17:53:13,2.55,188.03,189.9,180.59,187.28,188.77,244.67,192.89,175.42,253.06,172.85,251.45,168.82,177.63,174.68,193.65,129.84,184.67,202.33,177.26,256.27,194.77,204.61,191.02,192.14,,17,968,29,17.61,
11.08.19 17:53:28,2.8,188.03,188.4,179.85,185.42,187.28,245.06,193.27,174.32,253.86,172.11,251.45,168.08,182.07,173.58,192.52,129.14,183.93,201.19,175.05,255.47,194.4,203.47,190.27,191.02,,17,968,29,17.64,
11.08.19 17:53:43,3.05,186.91,187.65,180.96,186.53,186.16,245.06,193.27,173.21,253.86,171.74,251.45,168.08,174.32,172.48,191.39,128.09,183.19,200.44,175.05,255.47,193.27,203.47,189.15,190.27,,17,968,29,17.65,
11.08.19 17:53:58,3.3,185.79,186.53,180.96,184.67,185.79,244.67,193.27,172.11,253.86,170.28,251.05,166.99,179.85,171.01,191.02,126.7,182.07,198.92,173.95,254.66,192.52,201.57,188.03,188.77,,17,968,29,17.66,
11.08.19 17:54:13,3.55,180.96,186.91,178,183.56,187.65,244.27,192.89,171.01,250.25,169.55,251.05,166.26,175.79,169.55,189.52,124.61,180.96,197.41,172.48,253.46,191.39,200.06,186.53,187.65,,17,968,29,17.68,
11.08.19 17:54:28,3.8,178,185.79,179.11,182.81,188.03,244.27,192.52,170.28,251.85,168.82,251.85,164.8,172.85,169.55,188.77,123.91,180.59,197.41,171.74,253.86,191.02,198.92,185.79,186.91,,17,968,29,17.7,
11.08.19 17:54:43,4.05,173.21,184.67,172.85,182.44,186.16,243.87,191.02,168.45,251.45,168.08,251.85,163.35,178.37,168.45,186.53,122.87,179.48,196.28,170.64,253.06,189.9,197.41,184.67,185.04,,17,968,29,17.72,
11.08.19 17:54:58,4.3,171.01,183.93,174.32,182.44,184.3,243.87,191.77,166.63,252.25,166.99,251.85,163.35,170.64,167.72,186.91,121.83,179.11,195.9,170.28,253.06,189.52,196.66,183.93,184.67,,17,968,29,17.72,
11.08.19 17:55:13,4.55,169.91,183.19,175.79,180.96,182.81,243.48,190.27,164.44,251.45,166.26,251.45,161.9,174.32,165.9,186.91,120.79,178.37,195.53,169.55,252.66,188.4,195.9,182.81,183.93,,17,968,29,17.75,
11.08.19 17:55:28,4.8,168.08,182.07,174.32,180.59,181.7,243.87,190.27,162.99,251.85,165.9,252.25,161.17,172.48,165.17,187.28,120.44,177.63,195.15,168.45,252.25,188.03,195.15,181.7,182.81,,17,968,29,17.75,
11.08.19 17:55:43,5.05,169.91,179.85,174.32,180.22,180.59,243.87,189.9,161.17,251.85,166.26,252.25,160.81,167.72,164.8,187.28,119.4,176.52,195.15,168.45,252.25,187.28,194.77,181.33,182.07,,17,968,29,17.79,
11.08.19 17:55:58,5.3,170.28,178.37,173.58,179.85,180.59,243.87,188.4,160.09,251.85,164.8,251.45,160.09,173.58,164.08,187.28,118.37,175.79,194.77,167.72,251.85,186.91,193.65,180.22,181.33,,17,968,29,17.79,
11.08.19 17:56:13,5.55,169.91,178,173.21,179.48,179.48,243.48,186.91,159.72,251.85,163.71,251.45,159,167.35,163.71,188.03,118.37,175.05,194.4,166.99,252.25,186.16,193.65,179.48,180.59,,17,968,29,17.81,
11.08.19 17:56:28,5.8,168.82,176.52,175.42,179.48,178.37,243.48,186.53,157.92,251.05,161.9,251.05,158.28,169.91,162.99,188.03,117.68,174.32,194.02,165.9,251.45,185.42,192.89,178,179.11,,17,968,29,17.82,
11.08.19 17:56:43,6.05,168.45,175.05,172.48,179.11,177.26,243.48,186.16,156.83,251.05,160.81,251.05,157.56,168.82,162.62,188.77,116.64,173.58,193.27,165.17,251.05,184.67,192.52,177.63,178.74,,17,968,29,17.82,
11.08.19 17:56:58,6.3,166.99,176.52,171.38,178.37,175.79,243.08,184.67,155.03,251.45,159.36,251.05,156.83,164.8,161.9,188.77,115.95,171.74,192.89,164.44,250.65,183.93,191.77,176.89,178,,17,968,29,17.84,
11.08.19 17:57:13,6.55,166.26,176.16,170.28,178.74,175.42,243.48,184.3,154.31,251.85,157.92,251.05,156.11,169.55,161.54,189.15,115.26,170.28,192.52,164.08,250.65,183.19,191.39,176.16,177.26,,17,968,29,17.84,
