Measurement Name :,20190808_resp_3_Day15,,Generated On :,"08/08/2019, 19:32:27",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000710      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 040
Ref LED current   : 075
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"08/08/2019, 19:08:42",,,,,,Batch No.:  ,PSt5-1814-01,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"08/08/2019, 19:32:19",,,,,,O2_cal0 [°],54.84,,,,,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [°],47.47,,,,,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-710,,,,,,O2_T0 [°C],22.6,,,,,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [°C],22.6,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],968,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
08.08.19 19:08:44,0.03,260.31,182.44,191.39,216.87,202.33,211.87,209.19,192.52,263.96,219.18,212.25,262.33,208.8,151.44,254.26,198.92,200.06,204.99,201.19,197.79,208.04,213.02,129.84,213.79,,17,968,29,16.97,
08.08.19 19:08:59,0.28,259.91,180.59,188.77,215.71,201.19,211.1,208.04,192.52,263.96,218.41,211.48,261.52,206.9,149.65,253.86,196.66,198.17,203.47,199.3,196.28,207.28,212.63,128.09,212.63,,17,968,29,17.07,
08.08.19 19:09:14,0.53,259.1,178,186.53,215.32,200.06,209.95,206.51,192.52,262.33,217.64,209.95,261.12,205.75,148.22,252.66,194.77,197.03,202.71,198.17,195.15,206.13,211.1,126.7,210.72,,17,968,29,17.14,
08.08.19 19:09:29,0.78,259.1,176.89,185.42,214.55,198.92,208.42,205.75,193.27,262.74,217.25,208.8,260.71,204.23,146.79,253.06,193.65,195.9,203.09,197.03,194.77,204.99,210.33,125.65,209.57,,17,968,29,17.2,
08.08.19 19:09:44,1.03,257.89,175.05,183.19,213.4,197.03,206.51,204.61,193.65,261.93,216.48,207.66,259.5,203.47,144.66,252.25,191.77,193.65,200.81,196.28,193.65,203.47,209.19,123.91,207.66,,17,968,29,17.25,
08.08.19 19:10:00,1.3,259.1,174.32,182.44,212.63,195.53,204.99,203.85,193.65,261.93,216.09,206.13,259.5,203.47,143.95,251.85,190.64,192.89,200.44,195.53,191.77,202.71,207.66,121.83,206.51,,17,968,29,17.29,
08.08.19 19:10:15,1.55,257.89,173.21,180.96,211.87,194.02,203.85,203.09,192.89,261.12,215.71,205.37,259.1,203.85,143.59,251.45,189.15,191.77,199.3,195.53,188.77,201.95,206.51,119.06,204.99,,17,968,29,17.32,
08.08.19 19:10:30,1.8,257.08,171.38,179.85,210.72,193.27,201.57,201.95,191.77,260.31,214.55,203.85,258.29,203.85,142.88,251.45,188.03,189.52,198.17,195.15,186.53,201.19,205.37,116.99,203.09,,17,968,29,17.34,
08.08.19 19:10:45,2.05,256.68,170.28,179.11,209.57,191.39,199.68,201.19,191.02,259.91,213.79,202.33,257.89,202.71,142.17,251.45,185.79,188.4,198.17,194.4,186.16,200.81,205.37,116.3,202.33,,17,968,29,17.38,
