Measurement Name :,20190814_resp_2_Day21,,Generated On :,"14/08/2019, 14:58:44",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000710      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 040
Ref LED current   : 075
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"14/08/2019, 14:36:24",,,,,,Batch No.:  ,PSt5-1814-01,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"14/08/2019, 14:58:36",,,,,,O2_cal0 [°],54.84,,,,,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [°],47.47,,,,,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-710,,,,,,O2_T0 [°C],22.6,,,,,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [°C],22.6,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],968,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
14.08.19 14:36:26,0.03,198.54,213.02,216.09,213.4,196.28,195.9,199.3,190.27,185.42,224.61,248.25,198.92,251.85,184.67,249.05,208.8,189.15,243.48,171.01,187.28,195.53,146.44,174.68,178.74,,17,968,29,17,
14.08.19 14:36:41,0.28,197.03,209.57,217.64,216.87,195.53,191.02,200.06,189.52,183.93,220.34,248.25,198.92,251.45,183.93,249.05,208.04,188.77,243.48,169.18,187.28,193.65,148.94,172.85,178.37,,17,968,29,17.04,
14.08.19 14:36:56,0.53,196.66,209.57,216.87,212.25,194.02,189.15,200.81,185.04,182.81,219.57,247.85,199.3,251.05,181.7,248.25,208.04,189.15,242.28,168.45,185.42,196.28,146.44,171.74,176.89,,17,968,29,17.11,
14.08.19 14:37:11,0.78,195.53,208.04,216.09,213.4,194.4,188.03,200.44,183.93,182.81,218.8,247.46,197.41,250.25,180.59,248.25,208.8,188.03,242.28,167.35,184.3,193.65,143.59,171.01,176.52,,17,968,29,17.14,
14.08.19 14:37:26,1.03,195.15,205.37,216.09,216.09,193.65,188.03,200.44,182.81,182.07,218.41,247.85,199.3,249.85,180.22,247.85,209.95,188.03,242.28,166.26,182.07,191.77,142.52,170.28,177.26,,17,968,29,17.18,
14.08.19 14:37:41,1.28,194.02,203.09,215.71,209.57,192.14,187.28,200.06,181.7,181.33,216.87,247.06,197.79,248.65,179.11,247.06,210.33,186.91,241.49,165.9,180.59,190.64,141.46,169.18,177.26,,17,968,29,17.2,
14.08.19 14:37:56,1.53,193.65,200.06,214.55,209.57,192.14,186.16,200.06,181.7,180.59,216.09,246.66,196.66,249.05,178,247.06,210.72,186.53,241.1,165.17,179.48,190.64,140.75,168.08,178.37,,17,968,29,17.23,
14.08.19 14:38:11,1.78,191.77,197.03,212.25,213.02,191.39,180.22,198.92,180.59,179.85,216.09,246.66,195.15,248.25,176.52,247.06,211.1,184.67,240.7,163.71,179.11,185.79,138.28,166.26,176.89,,17,968,29,17.25,
