Measurement Name :,20190725_resp_2_Day1,,Generated On :,"25/07/2019, 20:56:57",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000710      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 040
Ref LED current   : 075
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"25/07/2019, 20:37:59",,,,,,Batch No.:  ,PSt5-1814-01,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"25/07/2019, 20:56:46",,,,,,O2_cal0 [°],54.84,,,,,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [°],47.47,,,,,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-710,,,,,,O2_T0 [°C],22.6,,,,,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [°C],22.6,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],968,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
25.07.19 20:38:01,0.03,284.39,211.02,202.83,289.07,181.7,191.25,201.66,281.43,214.17,214.17,225.64,277.63,239.28,183.22,198.56,182.84,116.11,206.72,215.35,183.98,283.12,275.11,220.88,123.92,,16,968,29,16.41,
25.07.19 20:38:17,0.3,283.55,210.24,201.66,288.22,177.16,190.09,200.11,279.74,212.99,206.72,224.45,278.48,237.26,182.08,197.41,179.43,115.05,205.55,213.38,182.84,282.28,274.27,219.29,120.36,,16,968,29,16.52,
25.07.19 20:38:32,0.55,283.12,208.28,199.73,287.37,175.64,188.95,198.18,278.9,211.42,205.16,222.86,273.43,236.05,181.7,195.86,177.53,115.05,204.38,212.59,182.46,281.43,273.43,218.11,117.17,,16,968,29,16.59,
25.07.19 20:38:47,0.8,282.7,207.89,198.56,287.37,173.38,187.8,197.41,277.21,209.85,204,221.67,278.48,234.85,180.56,195.09,175.64,114.7,202.83,211.42,181.7,281.01,272.6,217.32,113.28,,16,968,29,16.64,
25.07.19 20:39:02,1.05,282.28,206.33,196.63,286.09,172.63,186.27,196.25,276.37,208.28,202.44,220.08,273.85,233.64,179.43,193.94,173.38,113.64,201.28,209.85,181.32,280.16,271.76,215.35,108.01,,16,968,29,16.7,
25.07.19 20:39:17,1.3,281.85,205.16,197.02,285.67,171.13,185.51,195.09,275.53,206.72,202.05,219.69,274.27,232.44,178.29,194.71,171.13,113.99,200.5,209.46,181.7,279.32,271.34,213.77,103.81,,16,968,29,16.75,
25.07.19 20:39:32,1.55,281.43,205.16,195.86,285.24,170.38,185.51,195.09,274.69,205.16,199.73,217.71,277.21,231.23,177.53,194.32,169.63,113.64,199.73,208.28,181.7,278.48,270.51,212.99,100.33,,16,968,29,16.82,
25.07.19 20:39:47,1.8,280.59,202.83,194.71,284.82,168.88,183.6,193.94,274.69,203.61,198.56,215.74,270.92,230.43,176.78,193.55,167.38,113.28,198.56,207.11,182.08,278.06,270.09,211.42,95.82,,16,968,29,16.84,
25.07.19 20:40:02,2.05,281.01,202.44,195.86,284.39,169.25,183.98,193.17,274.27,202.44,197.79,214.17,275.95,229.23,176.02,193.94,165.14,112.58,198.18,206.72,181.32,277.63,269.67,209.85,94.44,,16,968,29,16.88,
25.07.19 20:40:17,2.3,280.16,201.28,193.55,284.39,168.5,183.22,192.4,273.85,201.66,197.02,210.24,273.02,228.43,175.27,193.55,162.9,112.23,197.02,205.94,180.56,276.79,269.25,208.68,92.37,,16,968,29,16.9,
25.07.19 20:40:32,2.55,279.74,197.79,192.01,282.7,168.5,182.08,190.48,273.02,199.34,196.63,206.33,271.34,227.24,174.51,192.78,160.67,111.17,195.48,204,179.8,275.95,268.42,207.11,90.65,,16,968,29,16.95,
25.07.19 20:40:47,2.8,279.32,197.02,191.25,281.85,168.13,180.94,189.71,272.6,198.56,195.09,205.55,274.69,226.04,173.76,192.78,159.19,110.82,193.55,203.22,178.67,275.53,267.59,205.94,87.9,,16,968,29,16.97,
25.07.19 20:41:02,3.05,278.06,195.48,189.71,282.28,168.13,180.18,188.18,272.6,197.79,194.32,204.77,269.25,225.24,172.26,192.78,158.08,110.47,192.4,201.66,177.53,274.69,267.17,204,84.14,,16,968,29,17,
25.07.19 20:41:17,3.3,277.63,194.32,188.56,281.85,167.75,179.8,187.8,272.18,196.63,192.78,204.38,274.27,223.65,171.13,192.4,156.97,110.47,190.86,200.11,176.78,274.27,267.17,203.22,81.75,,16,968,29,17.04,
25.07.19 20:41:32,3.55,278.06,192.4,187.42,281.01,167.75,179.05,186.65,272.18,196.25,192.01,203.61,270.92,222.07,170,191.63,155.12,110.12,189.71,198.56,174.89,273.43,265.92,201.66,79.71,,16,968,29,17.06,
25.07.19 20:41:47,3.8,277.21,190.48,186.27,280.59,167.75,178.29,184.74,272.18,195.09,190.48,202.83,269.67,221.67,168.13,191.25,153.65,109.76,189.33,197.41,174.51,273.02,265.51,200.5,78.69,,16,968,29,17.07,
25.07.19 20:42:02,4.05,276.79,189.33,185.51,279.74,167.75,177.16,183.98,272.6,194.71,189.71,202.83,273.43,220.88,167.01,191.63,151.81,109.76,188.95,195.86,173.01,272.6,265.09,199.34,78.35,,16,968,29,17.11,
25.07.19 20:42:17,4.3,276.37,188.18,183.98,278.9,167.38,176.02,182.46,270.51,193.55,188.18,202.05,267.59,219.69,165.89,190.86,149.6,109.06,187.42,195.09,171.5,271.76,264.67,198.18,76.65,,16,968,29,17.14,
25.07.19 20:42:32,4.55,276.37,187.8,183.22,278.9,165.89,174.89,181.32,270.92,193.17,185.89,201.66,272.18,218.9,164.02,190.86,147.41,109.06,187.42,193.94,170.38,270.92,264.26,197.02,75.64,,16,968,29,17.14,
25.07.19 20:42:47,4.8,275.95,187.03,182.84,278.9,166.26,174.14,179.8,271.76,192.4,184.74,200.5,269.25,217.71,162.16,190.48,145.94,109.06,186.27,192.78,168.88,270.92,263.43,196.25,74.28,,16,968,29,17.18,
25.07.19 20:43:02,5.05,275.11,185.51,182.08,278.48,167.38,173.01,179.05,271.76,192.01,183.6,199.73,268,216.92,159.19,190.48,144.85,108.71,185.89,192.01,168.13,270.09,263.43,194.71,73.27,,16,968,29,17.2,
25.07.19 20:43:17,5.3,275.53,184.74,181.7,278.06,167.01,172.63,177.16,271.76,191.63,182.08,198.56,271.76,215.35,158.08,189.71,143.03,107.66,184.74,191.25,166.63,269.67,263.02,193.17,72.26,,16,968,29,17.2,
25.07.19 20:43:32,5.55,274.27,184.36,181.32,276.79,167.01,171.13,175.64,271.34,190.86,181.7,196.25,267.59,214.95,155.49,188.95,140.84,107.31,184.36,190.86,165.51,269.25,262.6,192.01,71.25,,16,968,29,17.22,
25.07.19 20:43:47,5.8,273.85,183.6,179.43,276.79,165.89,170.38,174.51,271.76,190.09,180.18,195.86,270.92,213.77,153.65,188.95,138.3,106.61,183.22,189.33,164.77,268.42,262.6,190.09,69.57,,16,968,29,17.23,
25.07.19 20:44:02,6.05,274.27,183.22,178.29,276.37,166.63,168.88,173.38,270.92,189.33,179.43,195.09,268.84,212.59,151.07,188.56,136.13,106.61,182.84,188.95,164.02,268,261.77,188.95,68.89,,16,968,29,17.25,
25.07.19 20:44:17,6.3,273.85,181.32,177.91,275.95,166.26,168.13,171.88,270.92,189.33,178.29,194.32,266.75,211.81,149.24,188.18,133.97,106.26,182.46,188.56,163.28,268,261.77,188.18,67.55,,16,968,29,17.27,
25.07.19 20:44:32,6.55,273.85,181.32,176.02,275.11,166.26,167.38,170,270.51,188.56,177.16,194.32,270.92,210.63,148.5,187.42,132.16,105.21,181.7,187.8,161.79,267.59,261.36,186.65,65.88,,16,968,29,17.29,
25.07.19 20:44:47,6.8,273.02,177.91,174.89,274.27,165.89,165.89,169.25,269.67,187.42,175.64,193.17,266.75,209.46,147.77,186.27,129.29,104.16,180.56,187.42,160.67,266.75,260.95,185.51,64.54,,16,968,29,17.32,
25.07.19 20:45:02,7.05,273.02,177.16,173.76,274.27,165.14,165.14,168.5,268.84,187.03,173.38,192.4,269.67,208.28,146.67,185.89,127.14,103.46,179.8,186.65,159.93,266.34,260.12,184.74,63.54,,16,968,29,17.32,
25.07.19 20:45:17,7.3,272.18,177.53,172.26,273.85,165.51,164.02,167.01,268.84,186.65,171.5,192.4,268.84,207.11,146.31,184.74,125.35,103.12,179.43,185.89,158.82,265.92,260.12,182.84,62.2,,16,968,29,17.32,
25.07.19 20:45:32,7.55,271.76,176.02,171.5,272.6,164.77,162.53,165.51,267.59,185.51,169.63,190.86,264.67,205.94,145.21,182.84,122.85,102.07,177.91,185.13,157.34,265.09,258.88,181.32,60.87,,16,968,29,17.34,
25.07.19 20:45:47,7.8,271.34,175.27,170.38,273.02,164.77,162.16,164.77,267.17,185.13,168.88,190.48,269.25,205.16,144.48,182.46,120.36,101.72,177.53,184.36,156.23,264.26,258.88,180.94,59.87,,16,968,29,17.36,
25.07.19 20:46:02,8.05,271.34,175.27,170,272.6,164.77,161.05,164.02,267.17,184.74,167.38,189.33,265.51,204.38,143.75,181.32,118.59,101.03,176.4,183.6,154.75,264.67,258.88,179.8,58.87,,16,968,29,17.36,
25.07.19 20:46:17,8.3,271.34,174.14,171.5,272.18,164.77,159.93,162.53,267.17,184.36,165.89,188.95,268.42,203.61,142.3,180.94,116.82,100.68,176.78,183.6,154.02,263.84,258.88,179.05,58.21,,16,968,29,17.36,
25.07.19 20:46:32,8.55,270.92,173.76,173.76,271.76,164.77,159.19,161.05,266.75,183.6,164.77,187.8,268,202.83,140.48,179.43,116.11,99.98,176.4,182.46,152.54,263.84,258.47,177.91,57.21,,16,968,29,17.39,
25.07.19 20:46:47,8.8,270.51,171.88,171.88,271.34,163.28,158.45,159.93,265.92,183.22,164.02,187.03,263.43,201.28,138.3,178.29,114.7,98.94,175.27,181.7,151.07,263.02,258.06,177.16,56.22,,16,968,29,17.39,
25.07.19 20:47:02,9.05,269.67,170.75,170.38,270.51,160.67,156.6,158.82,265.51,182.08,162.53,185.89,267.59,199.73,136.13,176.78,112.58,97.55,174.51,180.56,149.6,262.6,256.82,175.64,54.56,,16,968,29,17.39,
25.07.19 20:47:17,9.3,269.67,171.13,170,270.92,160.3,156.23,157.71,265.51,182.08,161.05,185.13,264.67,198.95,135.05,176.78,111.52,97.9,174.89,180.18,149.24,262.6,257.23,175.27,54.56,,16,968,29,17.4,
25.07.19 20:47:32,9.55,269.67,169.63,168.13,270.09,160.3,155.12,156.23,265.51,180.94,159.19,184.74,265.92,198.56,132.88,175.64,110.47,96.17,174.51,179.8,148.14,262.19,256.82,173.01,53.57,,16,968,29,17.4,
25.07.19 20:47:47,9.8,269.67,169.25,167.75,269.67,158.45,154.02,155.86,265.09,179.8,157.34,182.84,267.17,197.79,132.52,175.64,109.06,95.48,174.14,179.05,146.67,261.77,256.82,170,52.91,,16,968,29,17.41,
25.07.19 20:48:02,10.05,270.09,168.88,167.38,269.25,157.34,153.28,155.12,265.09,179.05,155.49,182.84,262.19,197.41,131.8,175.27,108.36,95.13,173.38,178.29,146.31,261.36,256.41,168.13,52.58,,16,968,29,17.43,
25.07.19 20:48:17,10.3,268.84,167.38,166.63,268.84,156.6,152.18,154.75,263.84,178.67,154.38,182.08,266.75,195.86,130.37,174.51,106.96,94.44,172.63,176.78,144.48,261.36,256,166.63,51.59,,16,968,29,17.45,
25.07.19 20:48:32,10.55,269.25,167.01,165.14,268.42,155.86,151.44,154.38,264.26,177.53,152.91,180.94,264.26,194.71,130.37,175.27,106.61,94.09,172.26,176.02,143.39,260.95,256.41,165.89,50.6,,16,968,29,17.45,
25.07.19 20:48:47,10.8,268.42,165.14,163.65,268.42,155.12,150.34,152.91,263.84,176.4,152.18,180.56,265.51,193.94,130.37,175.27,105.56,93.75,172.26,174.51,142.66,260.12,255.59,164.77,49.62,,16,968,29,17.45,
