Measurement Name :,20190725_resp_1_Day1,,Generated On :,"25/07/2019, 18:47:21",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000710      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 040
Ref LED current   : 075
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"25/07/2019, 18:24:12",,,,,,Batch No.:  ,PSt5-1814-01,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"25/07/2019, 18:47:11",,,,,,O2_cal0 [°],54.84,,,,,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [°],47.47,,,,,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-710,,,,,,O2_T0 [°C],22.6,,,,,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [°C],22.6,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],968,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
25.07.19 18:24:15,0.05,117.88,105.56,295.91,151.81,117.88,208.68,123.21,187.8,202.44,242.11,278.48,200.11,190.48,222.07,168.88,284.82,242.52,191.63,283.12,198.95,96.17,190.48,274.69,276.79,,16,968,29,16.7,
25.07.19 18:24:30,0.3,115.76,103.81,294.62,149.24,116.82,207.89,121.43,186.65,201.28,237.26,277.63,199.73,187.03,219.69,166.63,283.12,238.88,190.48,282.7,195.86,94.09,187.8,273.43,276.37,,16,968,29,16.77,
25.07.19 18:24:45,0.55,114.7,103.81,293.34,147.04,115.4,207.11,121.07,185.89,200.5,235.25,276.79,199.73,183.98,219.29,165.51,282.7,236.46,190.09,281.43,193.17,92.71,185.89,273.43,275.53,,16,968,29,16.82,
25.07.19 18:25:00,0.8,112.58,102.42,292.06,145.58,111.87,205.94,119.3,184.74,198.95,234.04,276.37,198.18,181.32,216.92,162.16,281.85,233.64,188.56,280.59,190.86,90.99,184.74,272.18,274.27,,16,968,29,16.86,
25.07.19 18:25:15,1.05,110.47,101.37,291.2,144.85,109.41,205.16,118.23,183.98,198.56,232.44,275.53,198.56,180.56,213.38,160.67,281.01,231.23,187.8,280.59,189.71,89.96,182.84,271.34,274.27,,16,968,29,16.9,
25.07.19 18:25:30,1.3,108.71,99.98,290.35,142.3,106.61,204.38,117.52,183.22,197.79,229.63,275.53,197.41,180.18,210.63,159.56,281.43,228.83,187.03,279.74,188.18,88.59,180.94,270.92,273.43,,16,968,29,16.95,
25.07.19 18:25:45,1.55,106.26,100.33,289.07,140.48,103.12,202.44,116.11,181.32,196.25,223.65,275.11,196.25,178.67,207.89,157.71,279.74,226.44,185.89,278.9,187.03,86.87,177.91,270.51,272.18,,16,968,29,16.97,
