Measurement Name :,20190728_resp_2_Day4,,Generated On :,"28/07/2019, 19:25:32",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000710      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 040
Ref LED current   : 075
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"28/07/2019, 19:02:27",,,,,,Batch No.:  ,PSt5-1814-01,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"28/07/2019, 19:25:22",,,,,,O2_cal0 [°],54.84,,,,,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [°],47.47,,,,,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-710,,,,,,O2_T0 [°C],22.6,,,,,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [°C],22.6,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],968,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
28.07.19 19:02:29,0.03,138.63,193.27,259.1,204.23,184.3,204.23,206.51,218.02,214.17,202.71,161.17,191.77,163.35,191.02,259.5,263.55,213.4,204.61,260.31,186.16,254.66,256.68,112.86,198.17,,17,968,29,17.14,
28.07.19 19:02:44,0.28,136.16,192.14,258.69,204.23,183.56,201.57,206.13,216.87,211.87,201.95,157.92,190.64,162.62,191.02,259.5,263.15,212.63,203.09,259.1,185.42,254.66,255.87,109.43,196.66,,17,968,29,17.2,
28.07.19 19:02:59,0.53,135.1,191.02,258.29,202.71,182.44,199.68,204.99,216.48,209.57,201.19,155.03,189.15,161.17,190.64,259.1,263.15,211.87,202.33,259.1,184.67,254.26,255.87,106.7,195.15,,17,968,29,17.23,
28.07.19 19:03:14,0.78,134.75,189.9,258.29,201.19,181.33,195.9,202.71,215.71,208.8,200.81,152.52,187.65,160.81,190.64,259.5,262.33,211.1,201.57,259.1,183.93,253.86,255.07,103.98,193.65,,17,968,29,17.29,
28.07.19 19:03:29,1.03,133.34,189.15,257.89,201.19,179.48,193.65,202.33,213.79,207.66,200.44,151.08,186.16,159.36,189.9,259.1,261.12,210.33,201.19,257.89,183.19,253.46,255.07,101.26,192.52,,17,968,29,17.32,
28.07.19 19:03:44,1.28,131.59,188.03,257.48,200.81,179.11,191.39,201.57,213.4,206.9,198.92,148.94,184.3,157.92,189.52,259.1,261.12,209.95,201.19,257.48,182.44,253.06,254.26,99.57,191.02,,17,968,29,17.36,
28.07.19 19:03:59,1.53,129.14,187.65,257.48,199.68,178,190.64,201.19,212.25,204.99,198.54,149.65,182.81,157.56,189.15,259.1,260.31,208.8,200.06,257.48,182.07,252.25,253.86,96.53,189.52,,17,968,29,17.38,
28.07.19 19:04:14,1.78,127.39,187.28,262.74,197.41,178,189.9,200.81,212.63,204.23,197.79,150.72,181.7,156.83,189.15,258.29,260.31,208.42,199.68,257.08,182.07,252.66,253.86,94.51,187.65,,17,968,29,17.4,
28.07.19 19:04:29,2.03,127.04,186.91,261.52,197.03,176.89,189.15,200.44,211.48,203.47,198.54,152.16,180.22,156.47,189.52,258.69,260.71,207.66,199.3,257.08,182.44,252.66,253.46,94.18,187.28,,17,968,29,17.45,
28.07.19 19:04:44,2.28,124.26,186.16,259.5,194.02,175.42,186.91,200.06,211.1,202.71,197.41,152.52,179.48,154.31,188.77,258.29,259.5,205.75,198.92,256.68,182.44,252.25,253.06,93.17,185.42,,17,968,29,17.45,
28.07.19 19:04:59,2.53,122.87,185.79,258.69,190.64,173.58,183.93,199.68,210.33,201.19,197.41,153.59,177.63,154.67,188.77,258.69,258.69,204.99,198.17,257.08,182.07,252.25,253.06,92.5,183.93,,17,968,29,17.48,
28.07.19 19:05:14,2.78,122.17,184.67,258.69,186.16,172.11,182.44,197.41,208.8,200.44,195.9,153.95,176.16,153.59,188.03,257.89,258.29,203.47,197.79,256.27,181.33,251.45,252.66,90.49,181.7,,17,968,29,17.5,
28.07.19 19:05:29,3.03,121.13,184.67,261.52,184.67,170.64,179.85,198.17,209.19,198.92,195.9,154.31,174.68,153.24,188.03,258.29,257.89,203.09,197.79,255.87,180.96,251.05,252.25,90.15,180.59,,17,968,29,17.52,
28.07.19 19:05:44,3.28,120.1,183.93,257.48,182.81,168.82,179.11,198.17,207.66,198.17,195.53,152.52,173.58,152.88,187.65,257.89,257.89,202.71,197.03,255.47,180.96,251.45,252.25,88.82,179.48,,17,968,29,17.54,
28.07.19 19:05:59,3.53,118.71,182.81,257.48,181.33,164.8,177.26,197.79,206.51,197.03,194.4,152.88,172.11,152.16,186.91,257.48,257.48,202.33,195.9,255.47,180.22,250.65,251.45,87.15,178,,17,968,29,17.56,
28.07.19 19:06:14,3.78,117.33,182.81,259.5,180.96,164.44,177.26,197.79,206.13,195.53,194.02,152.16,171.01,151.08,186.53,257.48,257.48,201.19,195.53,255.07,179.48,250.65,251.45,86.48,176.89,,17,968,29,17.57,
28.07.19 19:06:29,4.03,115.61,182.07,257.08,179.48,162.62,177.26,197.03,204.61,195.15,193.65,151.8,169.18,149.65,186.16,257.48,257.08,200.06,195.15,254.66,179.48,250.25,250.65,84.82,175.42,,17,968,29,17.59,
28.07.19 19:06:44,4.28,113.89,181.33,258.69,180.22,161.9,177.26,196.28,204.23,194.77,191.77,151.08,167.72,148.58,185.79,257.48,256.68,199.68,194.4,254.66,178.74,249.45,250.65,83.82,174.32,,17,968,29,17.59,
28.07.19 19:06:59,4.53,111.49,180.96,259.5,179.85,160.81,176.89,196.28,203.47,192.89,191.77,150.01,166.26,148.22,185.79,257.08,255.87,199.3,194.02,254.26,178.74,249.85,250.25,83.16,173.21,,17,968,29,17.61,
