Measurement Name :,20190807_resp_2_Day14,,Generated On :,"07/08/2019, 18:20:21",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000710      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 040
Ref LED current   : 075
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"07/08/2019, 17:58:13",,,,,,Batch No.:  ,PSt5-1814-01,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"07/08/2019, 18:20:08",,,,,,O2_cal0 [°],54.84,,,,,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [°],47.47,,,,,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-710,,,,,,O2_T0 [°C],22.6,,,,,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [°C],22.6,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],968,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
07.08.19 17:58:15,0.03,159.36,172.85,202.33,111.14,130.19,197.41,254.66,175.79,203.47,253.46,169.55,191.02,252.66,196.28,203.09,217.64,195.9,199.3,194.02,201.19,254.66,150.01,251.45,255.07,,17,968,29,17.09,
07.08.19 17:58:31,0.3,158.28,171.38,200.44,108.75,127.39,196.28,253.86,173.21,201.95,253.06,167.72,189.52,251.85,195.15,201.57,216.87,195.15,195.9,192.52,199.68,253.86,148.22,250.65,252.66,,17,968,29,17.15,
07.08.19 17:58:46,0.55,157.2,171.01,199.68,107.72,126.35,195.53,253.86,174.68,201.19,252.66,166.99,187.65,251.85,193.65,200.81,216.48,194.4,194.02,192.52,198.54,253.06,145.72,250.65,251.85,,17,968,29,17.2,
07.08.19 17:59:01,0.8,156.11,169.55,197.79,106.02,123.91,194.77,253.06,174.68,199.68,251.85,165.53,186.53,251.05,192.52,200.06,215.71,193.27,191.02,192.14,197.79,251.85,145.01,249.85,251.45,,17,968,29,17.25,
