Measurement Name :,20190801_resp_2_Day8,,Generated On :,"01/08/2019, 20:22:33",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000710      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 040
Ref LED current   : 075
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"01/08/2019, 19:59:34",,,,,,Batch No.:  ,PSt5-1814-01,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"01/08/2019, 20:22:25",,,,,,O2_cal0 [°],54.84,,,,,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [°],47.47,,,,,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-710,,,,,,O2_T0 [°C],22.6,,,,,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [°C],22.6,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],968,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
01.08.19 19:59:36,0.03,184.3,184.3,219.96,284.5,271.3,278.7,206.9,207.66,153.95,164.44,185.04,205.75,209.57,192.52,216.09,208.42,271.3,189.9,148.22,248.65,202.33,207.28,241.1,183.93,,17,968,29,17.18,
01.08.19 19:59:52,0.3,183.19,184.3,218.41,282.84,270.07,277.05,204.23,204.61,152.16,161.17,181.7,203.47,207.28,191.77,213.79,207.66,269.66,188.03,145.37,247.46,198.54,204.23,239.51,182.44,,17,968,29,17.32,
01.08.19 20:00:07,0.55,181.7,183.19,216.87,282.42,269.25,276.23,203.47,203.47,150.01,159.36,179.85,202.33,206.13,191.77,212.25,206.13,269.25,186.91,143.23,247.06,195.9,202.71,239.12,180.96,,17,968,29,17.39,
01.08.19 20:00:22,0.8,180.59,181.33,214.94,281.59,268.85,275.4,202.33,201.95,148.58,157.56,176.52,201.19,204.61,190.64,210.33,204.99,268.85,185.04,141.81,246.66,192.89,200.81,238.33,178,,17,968,29,17.47,
01.08.19 20:00:37,1.05,178.74,180.22,213.4,280.77,268.85,274.58,201.19,200.44,146.08,156.47,173.95,198.54,203.47,189.9,209.57,204.23,267.62,184.67,141.46,245.46,190.27,197.79,237.93,176.52,,17,968,29,17.52,
01.08.19 20:00:52,1.3,177.63,179.11,212.63,280.35,267.21,274.58,201.19,200.06,143.23,156.11,172.11,197.41,202.71,188.77,207.66,203.09,266.81,183.56,139.69,245.06,188.03,194.77,237.14,174.32,,17,968,29,17.57,
01.08.19 20:01:07,1.55,175.42,178.37,210.33,279.11,266.4,273.76,200.06,198.92,140.4,153.95,171.38,195.53,201.19,187.65,206.13,201.57,266.81,182.44,138.28,244.27,185.79,191.39,236.75,172.85,,17,968,29,17.61,
01.08.19 20:01:22,1.8,173.95,176.52,208.42,278.7,265.58,272.94,199.3,197.79,138.28,152.16,171.01,194.4,199.68,186.91,204.99,200.44,265.99,182.07,136.16,243.87,183.19,188.03,235.57,172.11,,17,968,29,17.64,
01.08.19 20:01:37,2.05,172.11,174.68,206.51,278.29,266.81,272.53,198.54,197.03,136.86,150.72,169.55,192.89,198.92,185.79,203.85,199.3,265.58,180.96,134.4,242.68,181.33,185.42,235.17,171.01,,17,968,29,17.68,
01.08.19 20:01:52,2.3,171.01,173.58,204.61,277.46,265.58,271.71,198.54,196.66,135.1,149.65,169.18,191.77,198.92,185.42,203.09,198.54,265.18,181.7,134.05,242.28,179.11,183.56,234.78,169.18,,17,968,29,17.72,
01.08.19 20:02:07,2.55,169.91,172.11,203.09,277.05,265.18,271.71,198.17,196.66,134.4,148.58,168.08,190.64,197.41,183.93,201.95,198.17,265.18,180.96,132.99,242.68,177.63,182.07,234.78,168.45,,17,968,29,17.75,
01.08.19 20:02:22,2.8,168.08,170.64,201.19,276.23,263.96,270.89,197.03,195.15,133.34,146.44,165.17,189.9,195.9,182.07,200.81,196.28,264.36,179.11,131.94,241.49,175.79,180.59,233.6,167.35,,17,968,29,17.79,
01.08.19 20:02:37,3.05,166.99,168.45,200.44,276.64,263.55,270.89,196.66,193.65,132.99,146.08,162.99,188.4,195.15,181.33,200.06,196.28,263.15,177.63,130.54,241.49,173.95,179.48,233.21,165.53,,17,968,29,17.82,
01.08.19 20:02:52,3.3,165.17,166.63,198.92,274.99,262.74,270.07,195.9,192.14,131.94,143.95,161.54,186.91,194.02,178.74,199.68,194.77,262.74,175.42,129.49,240.7,171.38,178,232.42,163.35,,17,968,29,17.84,
