Measurement Name :,20190731_resp_2_Day7,,Generated On :,"31/07/2019, 19:58:04",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000710      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 040
Ref LED current   : 075
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"31/07/2019, 19:36:58",,,,,,Batch No.:  ,PSt5-1814-01,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"31/07/2019, 19:57:54",,,,,,O2_cal0 [°],54.84,,,,,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [°],47.47,,,,,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-710,,,,,,O2_T0 [°C],22.6,,,,,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [°C],22.6,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],968,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
31.07.19 19:37:00,0.03,266.4,151.08,219.18,222.67,218.8,164.08,208.04,224.61,196.28,275.4,157.2,205.75,268.85,279.94,171.01,219.96,275.81,192.52,215.71,183.56,198.54,147.86,275.4,209.57,,17,968,29,17.18,
31.07.19 19:37:15,0.28,264.77,149.65,216.09,219.18,215.71,161.9,205.75,222.67,194.02,274.58,154.31,205.75,266.4,278.7,168.82,218.41,274.17,192.14,213.79,181.33,195.9,144.3,274.58,207.28,,17,968,29,17.29,
31.07.19 19:37:31,0.55,264.36,147.51,215.32,218.02,214.55,159,204.23,223.44,190.64,273.35,147.86,205.75,266.81,277.87,167.35,216.09,274.17,191.39,211.87,179.48,194.77,141.46,273.35,204.23,,17,968,29,17.38,
31.07.19 19:37:46,0.8,263.55,146.79,214.94,216.87,211.87,157.56,203.85,221.5,189.52,272.94,146.44,205.37,265.99,277.46,166.26,214.94,273.76,190.64,210.33,177.63,193.27,139.69,272.94,203.47,,17,968,29,17.45,
31.07.19 19:38:01,1.05,262.33,145.72,213.79,214.94,209.57,155.39,201.95,221.5,186.91,272.53,145.01,205.37,265.18,275.81,164.8,214.17,272.53,189.52,209.19,174.32,191.39,136.86,271.71,201.57,,17,968,29,17.52,
