Measurement Name :,20190811_resp_1_Day18,,Generated On :,"11/08/2019, 13:58:24",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000710      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 040
Ref LED current   : 075
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"11/08/2019, 13:28:32",,,,,,Batch No.:  ,PSt5-1814-01,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"11/08/2019, 13:58:17",,,,,,O2_cal0 [°],54.84,,,,,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [°],47.47,,,,,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-710,,,,,,O2_T0 [°C],22.6,,,,,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [°C],22.6,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],968,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
11.08.19 13:28:35,0.05,192.14,127.74,234.78,272.94,201.19,204.23,209.95,175.05,198.17,183.56,205.75,179.48,184.3,248.25,191.39,188.77,195.9,176.16,231.64,183.56,191.02,190.64,182.81,183.93,,17,968,29,17.63,
11.08.19 13:28:50,0.3,192.89,131.24,235.57,259.1,200.81,203.47,208.8,178.74,197.41,182.81,204.61,177.26,183.19,249.05,191.02,187.28,194.77,174.32,232.82,181.7,189.52,190.27,182.81,182.81,,17,968,29,17.65,
11.08.19 13:29:05,0.55,195.15,132.29,235.96,270.48,200.06,200.81,208.8,180.22,196.66,182.07,203.85,175.79,182.07,248.65,190.27,186.53,194.4,173.21,232.82,180.59,188.4,189.52,180.59,181.33,,17,968,29,17.68,
11.08.19 13:29:20,0.8,191.02,130.19,234.39,255.47,199.3,198.92,206.9,181.33,195.53,181.33,203.47,175.79,180.96,248.25,189.52,185.04,192.52,171.74,232.82,179.48,187.28,189.15,179.48,180.59,,17,968,29,17.7,
11.08.19 13:29:35,1.05,190.64,129.49,235.17,268.44,198.92,191.77,206.51,180.22,192.89,180.22,202.71,170.64,180.59,248.65,188.03,183.93,191.39,170.28,232.42,179.11,186.16,187.28,178,179.11,,17,968,29,17.72,
11.08.19 13:29:50,1.3,191.39,129.14,235.17,253.46,198.17,195.9,204.99,180.96,192.89,179.48,202.71,173.95,178.74,247.46,187.65,182.81,189.9,169.91,232.82,178,184.67,187.28,176.52,178.37,,17,968,29,17.72,
11.08.19 13:30:05,1.55,188.4,129.14,233.21,262.74,198.17,196.28,204.23,180.59,193.27,178.37,202.33,169.91,177.63,247.46,187.28,181.33,189.52,168.08,232.42,177.63,183.93,186.53,175.42,176.89,,17,968,29,17.75,
11.08.19 13:30:20,1.8,188.03,128.44,235.57,253.06,196.66,189.15,202.71,180.22,193.27,177.26,201.19,171.01,175.79,246.26,185.79,180.22,188.4,166.63,232.42,176.52,182.81,186.53,174.32,174.32,,17,968,29,17.75,
11.08.19 13:30:35,2.05,187.65,128.44,232.42,256.68,195.15,194.4,201.95,180.96,192.14,175.42,200.06,169.18,174.32,245.06,184.67,178,186.91,164.8,232.03,175.42,181.7,185.79,172.85,172.48,,17,968,29,17.77,
