Measurement Name :,20190804_resp_1_Day11,,Generated On :,"04/08/2019, 17:23:22",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000710      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 040
Ref LED current   : 075
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"04/08/2019, 17:02:20",,,,,,Batch No.:  ,PSt5-1814-01,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"04/08/2019, 17:23:12",,,,,,O2_cal0 [°],54.84,,,,,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [°],47.47,,,,,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-710,,,,,,O2_T0 [°C],22.6,,,,,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [°C],22.6,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],968,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
04.08.19 17:02:23,0.05,216.87,155.39,229.68,270.07,261.93,211.48,196.66,221.5,173.21,265.99,261.12,178,217.64,203.09,274.99,178.74,172.85,209.57,174.32,187.28,197.79,186.53,257.08,210.33,,17,968,29,19.72,
04.08.19 17:02:38,0.3,214.94,153.24,228.9,271.3,261.12,211.48,196.66,220.73,172.11,265.58,261.12,177.63,216.48,200.81,275.4,175.42,173.95,208.04,172.85,186.53,195.15,185.04,257.08,209.95,,17,968,29,19.72,
04.08.19 17:02:53,0.55,213.02,151.8,226.95,271.71,260.71,209.57,195.9,220.34,170.28,264.77,261.12,175.79,215.71,197.79,275.4,173.21,173.58,205.75,171.74,185.42,193.27,184.3,256.27,209.57,,17,968,29,19.75,
04.08.19 17:03:08,0.8,211.1,150.72,225.78,271.71,260.31,207.28,194.4,219.57,169.18,264.77,260.71,173.95,214.94,195.15,275.4,172.85,173.95,203.09,169.91,184.67,191.39,183.56,255.87,208.8,,17,968,29,19.73,
04.08.19 17:03:23,1.05,208.42,148.58,224.22,271.3,259.91,205.75,192.89,219.57,168.08,263.96,260.71,172.85,214.17,192.89,274.99,171.38,175.05,201.57,168.45,183.93,189.15,183.19,255.47,208.42,,17,968,29,19.73,
