Measurement Name :,20190811_resp_2_Day18,,Generated On :,"11/08/2019, 16:08:06",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000710      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 040
Ref LED current   : 075
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"11/08/2019, 15:47:57",,,,,,Batch No.:  ,PSt5-1814-01,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"11/08/2019, 16:07:58",,,,,,O2_cal0 [°],54.84,,,,,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [°],47.47,,,,,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-710,,,,,,O2_T0 [°C],22.6,,,,,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [°C],22.6,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],968,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
11.08.19 15:48:00,0.05,174.32,189.15,185.42,173.21,193.65,186.91,215.71,216.87,160.09,204.99,242.28,247.85,108.07,239.12,186.16,189.9,196.28,173.21,249.45,173.58,186.16,188.77,124.95,181.33,,17,968,29,17.02,
11.08.19 15:48:15,0.3,171.01,188.77,183.93,172.48,190.27,186.16,214.55,216.09,158.28,203.09,241.49,247.46,107.72,237.93,184.3,188.03,195.15,172.48,248.65,172.11,182.81,186.16,123.91,179.48,,17,968,29,17.06,
11.08.19 15:48:30,0.55,173.95,189.15,182.44,172.85,196.66,185.79,213.79,215.71,156.47,201.57,241.49,249.05,107.04,237.93,182.81,187.28,194.77,172.85,247.85,169.91,180.59,184.67,123.56,179.48,,17,968,29,17.09,
11.08.19 15:48:45,0.8,171.01,189.15,180.59,172.48,191.39,186.53,212.63,216.09,155.75,201.19,241.1,248.65,106.7,238.33,181.33,186.16,194.02,172.48,247.46,168.08,179.48,183.93,122.17,177.26,,17,968,29,17.13,
11.08.19 15:49:00,1.05,171.38,188.4,179.48,171.74,189.9,185.42,212.63,214.55,153.95,200.06,241.1,247.46,106.36,237.93,179.48,185.04,192.14,171.74,245.86,166.99,182.44,182.44,120.1,175.79,,17,968,29,17.15,
11.08.19 15:49:15,1.3,168.08,189.15,178.37,171.38,194.77,185.42,213.02,214.17,154.67,199.3,241.1,247.06,106.7,238.33,178.74,183.56,192.89,173.58,246.26,165.53,169.55,180.59,118.02,175.05,,17,968,29,17.2,
11.08.19 15:49:30,1.55,167.35,188.4,178.37,171.38,189.9,184.3,211.87,213.4,156.83,198.54,241.1,246.66,106.36,238.33,177.63,183.19,193.27,174.32,246.66,164.8,171.01,180.96,109.43,176.16,,17,968,29,17.22,
11.08.19 15:49:45,1.8,166.63,189.52,177.63,170.28,191.02,182.81,211.48,212.63,155.39,197.79,240.3,245.86,106.02,238.72,176.52,182.07,192.89,172.85,246.26,164.8,173.95,181.7,106.7,171.01,,17,968,29,17.23,
11.08.19 15:50:00,2.05,164.8,190.27,176.52,169.18,192.14,182.07,210.72,211.87,152.16,196.28,240.3,245.46,106.02,239.51,175.05,181.33,192.14,171.74,245.46,164.08,165.53,181.7,106.02,174.68,,17,968,29,17.25,
11.08.19 15:50:15,2.3,162.62,189.52,175.42,167.35,187.28,180.96,209.19,211.48,155.39,195.53,241.49,245.06,104.32,241.1,173.95,180.59,192.89,172.11,244.67,164.08,167.35,181.33,105,173.95,,17,968,29,17.27,
11.08.19 15:50:30,2.55,161.9,190.27,173.58,166.99,190.64,180.59,208.04,210.72,152.52,193.65,242.28,245.06,104.32,239.12,172.85,180.59,196.66,169.55,244.27,164.08,172.11,180.96,104.32,173.95,,17,968,29,17.29,
11.08.19 15:50:45,2.8,161.9,189.15,172.11,166.26,186.53,179.48,206.51,209.95,146.44,192.14,242.28,245.06,99.23,241.1,172.11,179.48,194.02,167.72,243.08,162.99,162.62,180.22,103.64,172.85,,17,968,29,17.29,
11.08.19 15:51:00,3.05,156.83,188.03,170.28,166.99,183.93,174.32,204.99,208.42,144.66,189.9,241.89,242.28,100.25,237.93,170.28,178,190.27,165.17,243.08,162.26,165.17,178,102.28,171.01,,17,968,29,17.32,
11.08.19 15:51:15,3.3,159.72,188.03,169.55,166.99,182.81,173.58,204.23,208.42,142.88,188.4,241.89,242.28,101.94,238.33,169.55,177.26,194.4,162.26,242.68,161.9,167.35,176.89,101.94,170.28,,17,968,29,17.34,
11.08.19 15:51:30,3.55,159.72,184.67,168.82,166.26,182.07,173.21,203.47,208.8,143.59,183.93,241.1,242.68,102.28,236.35,168.82,177.26,194.77,161.17,243.08,161.54,160.81,175.79,101.94,168.08,,17,968,29,17.36,
11.08.19 15:51:45,3.8,154.67,183.93,168.08,165.53,180.59,168.82,201.95,207.66,146.08,182.07,241.1,241.49,100.59,237.14,167.72,176.16,193.27,160.45,242.68,161.17,160.09,174.32,100.59,166.26,,17,968,29,17.38,
11.08.19 15:52:00,4.05,155.03,183.93,166.26,165.17,180.96,166.63,202.33,206.9,146.08,179.85,241.1,241.49,101.6,237.14,168.45,175.42,191.77,159.72,242.28,160.81,163.35,173.58,99.57,164.8,,17,968,29,17.39,
11.08.19 15:52:15,4.3,159,182.81,165.9,164.08,180.22,167.35,200.81,205.37,145.72,178.74,240.3,241.49,97.21,236.35,167.72,174.68,189.9,157.92,242.28,160.45,162.99,172.48,99.23,162.99,,17,968,29,17.39,
11.08.19 15:52:30,4.55,156.11,182.81,165.53,164.08,180.96,165.53,200.81,204.99,145.01,177.63,240.7,241.1,100.59,236.75,167.72,173.95,186.91,157.92,242.68,159.72,159.72,176.16,98.22,161.54,,17,968,29,17.41,
11.08.19 15:52:45,4.8,152.52,184.3,165.53,163.35,181.7,166.63,200.44,203.85,143.95,178.37,241.1,242.28,99.23,236.75,167.35,174.32,186.53,157.2,243.08,159,158.64,175.42,97.88,157.92,,17,968,29,17.41,
11.08.19 15:53:00,5.05,156.11,185.42,163.71,162.26,180.22,166.63,200.06,204.23,140.4,177.26,240.7,242.28,98.56,236.35,165.9,172.85,186.91,156.11,243.87,158.28,162.26,173.95,97.21,156.83,,17,968,29,17.43,
11.08.19 15:53:15,5.3,153.59,185.79,161.9,161.54,179.48,165.9,198.92,203.09,138.28,176.89,240.7,240.7,97.54,236.35,164.44,171.74,187.28,154.67,243.87,157.56,160.81,171.74,93.17,156.47,,17,968,29,17.45,
11.08.19 15:53:30,5.55,149.29,185.42,161.54,161.17,178.37,165.17,199.3,202.33,138.28,176.52,240.7,241.49,96.53,236.35,163.35,172.11,186.53,154.31,243.87,156.47,158.28,167.35,91.83,155.39,,17,968,29,17.45,
11.08.19 15:53:45,5.8,153.24,185.04,160.81,160.09,178,164.44,198.92,201.95,137.92,175.42,240.7,241.1,96.2,235.96,162.26,171.38,186.91,153.24,244.67,155.39,157.56,171.01,91.83,155.03,,17,968,29,17.47,
11.08.19 15:54:00,6.05,150.72,183.93,160.45,159.36,177.26,164.08,198.92,201.19,138.63,173.21,240.7,241.49,95.19,235.57,161.54,171.01,185.04,152.16,244.27,154.31,157.2,171.74,90.49,153.59,,17,968,29,17.47,
11.08.19 15:54:15,6.3,147.15,182.07,159.72,159.36,175.79,163.35,198.92,200.44,139.34,172.48,240.7,240.7,95.19,235.57,160.09,170.28,186.16,151.44,244.67,153.59,153.95,172.11,90.15,152.52,,17,968,29,17.47,
11.08.19 15:54:30,6.55,148.94,179.11,159.72,159,176.52,163.71,198.17,200.44,138.28,173.95,241.1,239.91,93.17,235.96,159.72,169.55,185.42,150.72,244.27,152.88,150.72,171.01,89.48,151.8,,17,968,29,17.5,
11.08.19 15:54:45,6.8,148.94,178,158.64,158.64,176.16,162.99,197.41,199.3,136.16,173.21,240.7,239.51,93.17,235.17,159,169.18,184.3,148.58,243.87,151.44,153.59,170.28,88.15,151.08,,17,968,29,17.5,
11.08.19 15:55:00,7.05,144.66,177.63,158.28,157.92,175.79,162.62,197.03,198.17,131.59,167.72,240.7,239.51,92.83,234.39,157.2,168.82,182.44,147.51,243.87,150.37,154.31,169.91,87.48,150.01,,17,968,29,17.52,
11.08.19 15:55:15,7.3,144.3,177.26,158.64,156.83,175.05,162.26,196.66,197.41,132.99,165.9,240.7,239.91,90.15,234.78,156.11,167.72,181.7,146.08,243.48,149.65,146.08,165.53,86.81,149.29,,17,968,29,17.52,
11.08.19 15:55:30,7.55,145.37,176.16,157.56,156.11,174.32,161.17,196.28,196.28,133.34,164.44,239.91,238.33,88.48,234.78,155.39,166.99,179.11,145.37,242.68,147.86,148.58,160.81,84.82,148.22,,17,968,29,17.52,
11.08.19 15:55:45,7.8,143.23,175.42,156.83,156.11,173.58,161.17,195.53,195.53,132.29,166.99,240.3,238.72,86.81,234.39,155.03,166.99,179.48,145.01,242.68,147.51,152.16,165.53,82.82,149.29,,17,968,29,17.52,
11.08.19 15:56:00,8.05,140.75,173.58,156.83,155.75,172.85,161.54,195.15,194.77,132.64,165.17,240.3,239.12,84.48,234.78,154.31,166.26,178.37,144.3,242.68,147.15,144.3,166.99,81.5,148.58,,17,968,29,17.54,
11.08.19 15:56:15,8.3,142.52,174.32,155.75,156.11,170.64,160.45,194.02,194.77,133.34,165.53,239.91,238.72,87.15,234.39,153.24,165.9,178.74,143.95,243.08,146.08,145.01,165.9,79.84,148.22,,17,968,29,17.56,
11.08.19 15:56:30,8.55,140.75,173.21,155.03,155.03,169.18,160.45,193.65,193.65,133.34,164.8,239.91,239.12,85.48,234.39,152.88,164.8,177.63,142.52,242.68,145.01,147.86,161.9,77.86,146.79,,17,968,29,17.56,
11.08.19 15:56:45,8.8,134.05,172.48,154.67,154.31,168.82,159.72,192.89,193.27,129.14,164.44,241.1,238.72,81.5,234.78,152.16,164.44,178.37,142.17,242.68,143.95,144.3,161.9,77.2,146.44,,17,968,29,17.56,
11.08.19 15:57:00,9.05,137.57,169.55,153.59,153.24,168.45,159,192.52,192.14,125.65,166.99,240.7,238.72,81.5,234.78,151.8,163.35,178.37,141.81,242.28,141.81,139.69,161.17,76.21,144.3,,17,968,29,17.57,
11.08.19 15:57:15,9.3,134.4,169.18,153.24,152.88,168.08,159.36,191.77,191.02,124.61,164.08,240.7,238.33,83.16,234.78,151.08,162.99,179.48,141.11,241.89,140.4,140.75,156.83,75.55,143.95,,17,968,29,17.57,
11.08.19 15:57:30,9.55,131.59,168.82,152.52,152.52,168.45,157.56,191.77,190.64,125.3,166.26,240.7,237.93,78.52,233.99,150.01,161.9,178.37,139.69,242.28,138.98,142.88,153.24,74.57,143.95,,17,968,29,17.57,
11.08.19 15:57:45,9.8,135.1,167.72,151.44,151.44,168.45,157.2,190.64,189.15,127.39,165.17,241.1,238.33,77.86,234.39,149.65,161.54,176.89,138.28,242.28,138.28,139.34,153.95,74.24,143.23,,17,968,29,17.57,
11.08.19 15:58:00,10.05,132.64,168.08,151.8,150.72,167.72,156.11,189.15,188.03,127.74,164.8,241.49,237.54,79.84,233.99,148.58,160.45,176.52,137.57,241.89,137.57,138.28,153.59,73.25,142.17,,17,968,29,17.57,
11.08.19 15:58:15,10.3,129.49,166.99,151.44,150.01,167.72,155.39,187.65,187.28,126,164.08,241.1,237.54,77.53,233.99,148.22,160.09,176.16,137.92,241.1,136.86,138.63,153.59,73.25,141.81,,17,968,29,17.59,
11.08.19 15:58:30,10.55,130.19,166.63,149.65,149.29,166.99,155.39,188.03,185.79,119.75,165.9,241.49,237.54,76.21,234.39,147.51,159.72,173.58,136.16,240.7,136.51,134.75,151.08,72.27,140.75,,17,968,29,17.59,
11.08.19 15:58:46,10.82,131.94,164.8,148.94,148.94,167.35,153.59,187.65,185.04,118.02,165.17,240.3,237.54,74.57,233.99,146.08,158.64,172.48,134.75,240.3,135.45,134.05,150.01,71.61,139.69,,17,968,29,17.59,
11.08.19 15:59:01,11.07,128.09,164.44,147.86,148.22,165.9,153.59,187.28,183.56,120.1,164.08,240.7,237.14,72.92,233.99,145.72,157.92,172.48,134.05,239.51,134.75,135.81,149.29,70.96,138.63,,17,968,29,17.59,
11.08.19 15:59:16,11.32,125.65,163.71,147.15,147.15,164.08,151.8,186.16,182.07,120.1,162.26,240.7,236.75,71.29,233.21,144.66,156.83,170.64,132.99,239.12,134.05,133.34,147.51,70.63,137.57,,17,968,29,17.59,
11.08.19 15:59:31,11.57,125.65,162.62,146.79,146.44,162.99,151.08,185.79,181.33,119.4,160.81,239.91,236.35,70.63,233.21,143.95,156.11,171.38,131.94,238.72,132.99,130.89,146.44,69.65,136.86,,17,968,29,17.61,
11.08.19 15:59:46,11.82,127.39,163.35,146.08,146.79,162.26,151.08,186.16,180.59,118.37,161.17,240.7,236.75,69.98,233.21,143.59,155.39,171.01,131.94,238.33,132.64,129.49,145.72,69.32,136.16,,17,968,29,17.59,
11.08.19 16:00:01,12.07,123.56,162.26,145.72,146.08,161.17,150.72,186.16,180.22,119.06,161.17,239.91,236.35,68.67,233.6,142.52,155.03,169.18,131.94,237.93,132.29,130.89,146.44,68.67,135.45,,17,968,29,17.61,
