"Date","Treatment","rel.resp.COUNT","rel.resp.MEAN.LENGTH"
20190725,"AHM",-3.75966814466728,-1.42483084744883
20190725,"AHS",-2.64045757789045,-0.960991705742455
20190725,"AHM",-1.63480131987856,-0.611305753617215
20190725,"AHS",-5.42422525506443,-2.07151745973763
20190725,"AHS",-0.755474846381981,-0.184669678357565
20190725,"AHM",-4.26739823555738,-1.61359128786472
20190725,"AHS",-1.9270347365134,-0.864608708014825
20190725,"AHM",-1.17122510131402,-0.383788026936195
20190725,"AHM",-1.95566326056413,-0.687423638346145
20190725,"AHS",-2.42881814164886,-0.763709372090125
20190725,"AHM",-0.25221083330185,-0.540575257734225
20190725,"AHS",1.91854974162774,0.822628715761605
20190725,"EHM",2.36425883025685,0.703215669571184
20190725,"EHS",-5.53834143488061,-2.28717191151573
20190725,"EHS",-2.68291710567403,-1.41660170267222
20190725,"EHM",-0.00903617365153941,0.0957623012302129
20190725,"EHM",8.67890857844555,3.00205470576356
20190725,"EHS",-6.75894970949188,-2.75779101516893
20190725,"EHM",2.63018504395355,1.08336399496185
20190725,"EHS",-1.60764576098097,-0.388281807123217
20190725,"EHM",-1.65209771972137,-0.867678910285787
20190725,"EHS",-3.65603065487302,-1.85244663912464
20190725,"EHM",-1.70516970472023,-0.742328461112347
20190725,"EHS",-0.313236485113309,-0.00273797623894678
20190728,"AHM",-2.02969435490045,-0.842956340555336
20190728,"AHM",-0.575016337679394,-0.212189077448837
20190728,"AHS",0.864848478753757,0.147854586314663
20190728,"AHM",3.19092944935828,1.16002227232979
20190728,"AHS",-0.261621501252764,-0.271606135769247
20190728,"AHM",-1.38872545429924,-0.366950073332207
20190728,"AHM",-2.49108246127221,-0.943393205709517
20190728,"AHS",0.440202910526616,-0.102340697194526
20190728,"AHM",-6.06462773032211,-2.48389678232938
20190728,"AHS",-2.03884190706977,-0.779683414276656
20190728,"AHS",0.0736550145128358,-0.136392715754297
20190728,"AHS",-0.244604155020204,-0.0781330655676267
20190728,"EHM",2.85300365359698,0.865280202589455
20190728,"EHS",5.92970278297587,2.41198419708883
20190728,"EHS",-0.506018369667676,-0.134211867589185
20190728,"EHS",-0.684359653013856,-0.0909795219767049
20190728,"EHS",1.57148943003797,0.858680035880895
20190728,"EHM",-0.0780242190909259,-0.0195274048816949
20190728,"EHM",-1.74768173909536,-0.522137612845385
20190728,"EHM",2.06930218995007,0.700559846386715
20190728,"EHS",-1.69147956364089,-0.387334803083945
20190728,"EHM",-0.850552978999636,-0.298297523903455
20190728,"EHS",1.557121087156,0.521480909434515
20190731,"AHM",0.573073577980279,-0.0368699245337867
20190731,"AHM",0.944194782829498,0.201067466489183
20190731,"AHS",0.00500010922033756,-0.0400937328279367
20190731,"AHS",1.71736334012398,0.639821104387353
20190731,"AHM",-1.43046125640789,-0.616005852248717
20190731,"AHM",-2.98138040221524,-1.17302437354901
20190731,"AHM",-0.902097525390962,-0.315901661027797
20190731,"AHM",0.642902306944317,-0.306712566543207
20190731,"AHS",-1.73645704993225,-0.902594858870877
20190731,"AHS",-1.96787316168854,-0.765701977921176
20190731,"AHS",1.60988045538768,0.532318278044813
20190731,"AHS",4.27346638527234,1.27145533358166
20190731,"EHM",-1.61730256008979,-0.569883713428431
20190731,"EHM",2.86358424192813,1.31653301826924
20190731,"EHM",-2.77861928656926,-1.09952197915921
20190731,"EHS",-2.897552769239,-1.22078499321857
20190731,"EHS",4.15469994398333,1.44260056054422
20190731,"EHM",2.04037283140487,0.860792900205598
20190731,"EHS",-0.733250832770555,-0.352544282921151
20190731,"EHM",2.95231986033593,1.03164895175883
20190731,"EHM",2.34819012158462,0.918244681279519
20190731,"EHS",-1.89280563621057,-0.688700021654112
20190731,"EHS",-1.58446085660359,-0.466512985333952
20190731,"EHS",1.00641271861266,0.249161367939339
20190801,"AHM",-1.87904995208339,-0.47168986881198
20190801,"AHM",-2.64403879356957,-0.98857050022075
20190801,"AHS",-2.65552812448543,-0.91463402276126
20190801,"AHM",-0.00870203259940716,0.24515104485344
20190801,"AHM",-1.80262829948914,-0.89921576617305
20190801,"AHS",-1.7261251006962,-0.60180477545509
20190801,"AHM",-1.20086409887551,-0.16407416732376
20190801,"AHM",2.43789528467688,1.16243671989911
20190801,"AHS",0.300730560331283,0.0437220132562
20190801,"AHS",0.827082943561283,0.17100427855489
20190801,"AHS",-1.22582103846303,-0.47037741481135
20190801,"EHM",0.930291947958048,0.539444256177903
20190801,"EHS",-3.60226691180441,-1.57284010793371
20190801,"EHS",-1.61758642183527,-0.699287861446967
20190801,"EHM",1.68665767273497,0.422829967519283
20190801,"EHM",1.43722665217307,0.888829335160743
20190801,"EHS",-0.139571236213522,-0.0888407181227868
20190801,"EHM",-1.39364884175778,-0.418992498837987
20190801,"EHS",-0.756312129357351,0.142833412318573
20190801,"EHM",0.288918260338139,0.021605384390873
20190801,"EHS",0.0404623094094685,0.331069923157883
20190801,"EHS",-5.00681302974967,-1.9039019905014
20190804,"AHM",-5.59700862331839,-2.1879844622493
20190804,"AHM",0.0157291965616686,0.0680590613926264
20190804,"AHM",-2.2921058106175,-0.824949794149763
20190804,"AHS",-1.1908616549902,-0.312885141525864
20190804,"AHM",-1.40225142536459,-0.469375772475944
20190804,"AHS",0.0469805450897987,0.183352293447956
20190804,"AHM",-1.1061059659313,-0.271823843584103
20190804,"AHS",1.66961933700279,0.852557887727007
20190804,"AHS",1.2195684700662,0.332518681826877
20190804,"AHS",-2.61122322477751,-0.759963656987224
20190804,"AHS",3.46904962649969,1.11665994447442
