"Date","RUN","SDR_position","Lpc","Leq","Lz","alpha"
"20190723","2","A3",-1.047253061,-1.80701429,-1.80701429,0.4
"20190723","2","B3",-2.2630012,-2.272117167,-2.272117167,0.4
"20190723","2","C3",-3.978250052,-4.218470054,-4.218470054,0.4
"20190723","2","D3",-5.314458958,-5.34627668,-5.34627668,0.4
"20190723","2","A4",-2.171791,-2.057322058,-2.057322058,0.4
"20190723","2","B4",-1.125487635,-1.187623529,-1.187623529,0.4
"20190723","2","C4",-3.078981933,-3.230864826,-3.230864826,0.4
"20190723","2","D4",-4.327596751,-4.46761513,-4.46761513,0.4
"20190723","2","A5",-1.084358927,-1.06628813,-1.06628813,0.4
"20190723","2","B5",-1.778963308,-0.82320145,-0.978834413,0.4
"20190723","2","C5",-3.167433782,-3.18340448,-3.18340448,0.4
"20190723","2","D5",-3.28425751,-3.613760211,-3.613760211,0.4
"20190723","2","A6",0.169274208,0.254424242,0.254424242,0.4
"20190723","2","B6",0.215791842,-2.457517366,-2.457517366,0.4
"20190723","2","C6",-2.288006489,-2.381383268,-2.341871921,0.4
"20190723","2","D6",-3.74913973,-3.747427331,-3.747427331,0.4
"20190725","1","A1",-3.313816975,-3.313816975,-3.093703177,0.4
"20190725","1","B1",-2.548527416,-2.868032243,-2.605684211,0.4
"20190725","1","C1",-0.849560592,-0.862769085,-0.862769085,0.4
"20190725","1","D1",-3.788941104,-3.684764163,-3.684764163,0.4
"20190725","1","A2",-3.988912366,-4.005960116,-4.031495284,0.4
"20190725","1","B2",-3.920076765,-3.367935223,-3.367935223,0.4
"20190725","1","C2",-3.957913865,-3.529515264,-3.628262664,0.4
"20190725","1","D2",-3.104909457,-3.165947238,-3.165947238,0.4
"20190725","1","A3",-3.147061559,-3.045841631,-3.045841631,0.4
"20190725","1","B3",-4.388138776,-4.415181989,-4.420855673,0.4
"20190725","1","C3",-0.763431306,-0.816137625,-0.816137625,0.4
"20190725","1","D3",-3.337485286,-3.337485286,-3.337485286,0.4
"20190725","1","A4",-5.148129555,-5.034620856,-5.034620856,0.4
"20190725","1","B4",-1.92696794,-4.417183499,-4.417183499,0.4
"20190725","1","C4",-4.585902041,-4.556525403,-4.556525403,0.4
"20190725","1","D4",-1.159220779,-1.159220779,-1.159220779,0.4
"20190725","1","A5",-1.968191855,-1.560900901,-1.560900901,0.4
"20190725","1","B5",-2.465096971,-2.047747748,-2.047747748,0.4
"20190725","1","C5",-0.902792677,-0.863735192,-0.863735192,0.4
"20190725","1","D5",-4.037499524,-3.822685195,-3.822685195,0.4
"20190725","1","A6",-4.40312892,-4.249141773,-4.249141773,0.4
"20190725","1","B6",-6.508447734,-6.544550523,-6.544550523,0.4
"20190725","1","C6",-1.205989357,-1.105320826,-1.084397463,0.4
"20190725","1","D6",-1.082313893,-1.082313893,-1.082313893,0.4
"20190725","2","A1",-0.945114447,-1.030739958,-1.06231754,0.4
"20190725","2","B1",-3.464995658,-3.417257906,-3.417257906,0.4
"20190725","2","C1",-3.378555262,-3.61393695,-3.61393695,0.4
"20190725","2","D1",-1.396534413,-1.39812671,-1.425467914,0.4
"20190725","2","A2",-3.2549338,-3.414399825,-3.414399825,0.4
"20190725","2","B2",-3.908613565,-3.805415385,-3.892673797,0.4
"20190725","2","C2",-3.73757551,-3.647834225,-3.647834225,0.4
"20190725","2","D2",-1.267299465,-1.348819088,-1.348819088,0.4
"20190725","2","A3",-3.189993007,-2.536758065,-2.536758065,0.4
"20190725","2","B3",-5.496022409,-5.314375578,-5.25498802,0.4
"20190725","2","C3",-3.186353722,-3.241555239,-3.241555239,0.4
"20190725","2","D3",-0.871098463,-0.871098463,-0.871098463,0.4
"20190725","2","A4",-4.096794926,-4.030806452,-3.649589443,0.4
"20190725","2","B4",-5.457444881,-3.345102041,-3.345102041,0.4
"20190725","2","C4",-2.127163265,-1.550364146,-1.550364146,0.4
"20190725","2","D4",-7.57883871,-7.604045028,-7.604045028,0.4
"20190725","2","A5",-2.148820327,-1.853782991,-1.853782991,0.4
"20190725","2","B5",-2.589254668,-2.786225806,-2.786225806,0.4
"20190725","2","C5",-5.404545455,-5.394545455,-5.394545455,0.4
"20190725","2","D5",-4.727276573,-4.505574866,-4.505574866,0.4
"20190725","2","A6",-1.348828113,-1.331806452,-1.331806452,0.4
"20190725","2","B6",-1.100228893,-1.100228893,-1.072580214,0.4
"20190725","2","C6",-5.209467742,-3.169505348,-3.169505348,0.4
"20190725","2","D6",-3.638666667,-3.551419355,-3.551419355,0.4
"20190728","1","A1",-2.786548273,-3.233176573,-3.233176573,0.4
"20190728","1","B1",-4.357658382,-4.357658382,-4.357658382,0.4
"20190728","1","C1",-4.965108937,-4.139203414,-4.139203414,0.4
"20190728","1","D1",-2.794713566,-1.995809092,-2.005526132,0.4
"20190728","1","A2",-2.408942627,-3.403525836,-3.56712422,0.4
"20190728","1","B2",-0.340513414,-0.347771429,-0.347771429,0.4
"20190728","1","C2",-2.979256138,-3.037166979,-3.037166979,0.4
"20190728","1","D2",-3.373163059,-3.325955905,-3.325955905,0.4
"20190728","1","A3",-0.1699,-0.157518328,-0.157518328,0.4
"20190728","1","B3",-3.500704185,-3.403676551,-3.456212625,0.4
"20190728","1","C3",-3.085853178,-3.057037646,-2.973429864,0.4
"20190728","1","D3",-3.275523452,-2.633311741,-2.633311741,0.4
"20190728","1","A4",-0.989405699,-0.452252862,-0.471724033,0.4
"20190728","1","B4",-0.526309859,-0.529062102,-0.520822847,0.4
"20190728","1","C4",-5.92054393,-5.815051584,-6.206970128,0.4
"20190728","1","D4",-1.897375566,-1.892882311,-1.88390568,0.4
"20190728","1","A5",-0.416487805,-0.263854251,-5.269046942,0.4
"20190728","1","B5",-2.558774164,-2.185697942,-2.10627417,0.4
"20190728","1","C5",-0.539445959,-0.618778908,-0.618778908,0.4
"20190728","1","D5",-0.696537927,-0.577378436,-0.577378436,0.4
"20190728","1","A6",-2.99679251,-2.524985009,-2.524985009,0.4
"20190728","1","B6",-2.24491498,-2.237776562,-2.241830251,0.4
"20190728","1","C6",-0.517960144,-0.57769559,-0.57769559,0.4
