sample,mass,salinity,Sample.ID,Type, Notes
20190729_JUNK,59.9815,28,JUNK,JUNK,
20190729_CRM1,59.2005,33.623,CRM1,CRM,NEW bottle #180-0586; TA = 2224.47
20190729_CRM2,59.0192,33.623,CRM2,CRM,NEW bottle #180-0586; TA = 2224.47
