sample,mass,salinity,Sample.ID,Type, Notes
20190813_JUNK,59.9923,28,JUNK,JUNK,
20190813_CRM1,59.1386,33.623,CRM1,CRM, Bottle #180-0943; TA = 2224.47
20190813_CRM2,59.2817,33.623,CRM2,CRM, Bottle #180-0943; TA = 2224.47
