sample,mass,salinity,Sample.ID,Type, Notes
20190807_JUNK,59.2468,28,JUNK,JUNK,
20190807_CRM1,59.0225,33.623,CRM1,CRM, Bottle #180-0764; TA = 2224.47
20190807_CRM2,59.066,33.623,CRM2,CRM, Bottle #180-0764; TA = 2224.47
