sample,mass,salinity,Sample.ID,Type, Notes
20190726_JUNK,59.6458,28,JUNK,JUNK,
20190726_CRM1,59.0882,33.623,CRM1,CRM,Bottle #180-0701; TA = 2224.47
20190726_CRM2,59.0922,33.623,CRM2,CRM,Bottle #180-0701; TA = 2224.47
