sample,mass,salinity,Sample.ID,Type, Notes
20190714_28,59.7211,29.15,28,tank,
20190714_29,59.6522,29.21,29,tank,
20190714_30,59.5386,29.19,30,tank,
20190714_31,59.4045,29.19,31,tank,
20190714_32,59.0286,29.19,32,tank,
20190714_33,59.7767,29.12,33,tank,
20190714_34,59.124,29.17,34,tank,
20190714_35,59.8899,29.18,35,tank,
20190714_36,59.7207,29.2,36,tank,
