sample,mass,salinity,Sample.ID,Type, Notes
20190714_JUNK,59.2684,28,JUNK,JUNK,
20190714_CRM1,59.0425,33.623,CRM1,CRM,Bottle #180-0823; TA = 2224.47
20190714_CRM2,59.1479,33.623,CRM2,CRM,Bottle #180-0823; TA = 2224.47
