sample,mass,salinity,Sample.ID,Type, Notes
20190728_JUNK,59.6911,28,JUNK,JUNK,
20190728_CRM1,59.4535,33.623,CRM1,CRM,Bottle #180-0701; TA = 2224.47
20190728_CRM2,59.5897,33.623,CRM2,CRM,Bottle #180-0701 + 0643 (last 25 ml); TA = 2224.47
