mVTris,TTris
-84.1,10.3324
-83.7,10.8221
-83.3,11.1658
-83,11.4524
-82.8,11.6301
-82.5,12.0346
-82.2,12.1761
-81.9,12.5094
-81.3,13.0826
-80.6,13.6213
-80,14.1713
-79.3,14.7827
-78.5,15.495
-78,15.9858
