mVTris,TTris
-82.1,11.13
-81,12.29
-79.6,13.63
-78.9,14.01
-78,14.97
-77.2,15.72
-76.2,16.29
-75.2,17.12
-74.5,17.71
-73.7,18.29
-72.9,18.98
