mVTris,TTris
-86.2,7.5
-85.7,8.5
-85,9.1
-84.3,10
-83.4,10.9
-82.7,11.4
-81.5,12.2
-80.7,12.9
-80.5,13.3
-79.9,13.9
-78.4,14.7
-77.7,15.3
-77.2,15.8
-76.6,16.3
-75.7,16.9
-74.9,17.5
-74.5,18
-74,18.4
-73.5,19
-72.8,19.5
