mVTris,TTris
-82.2,10.73
-81.6,11.86
-81,12.48
-80.6,12.87
-80,13.34
-79.5,13.61
-78.9,14.17
-77.9,15.23
-77.4,15.62
-76.8,16.23
-75.9,16.86
-75.4,17.14
-74.7,17.78
-73.6,18.4
