mVTris,TTris
-85.9,8.79
-84.9,9.96
-84.3,10.56
-83.5,11.15
-82.8,11.88
-81.6,12.69
-81,13.25
-79.9,13.85
-79.2,14.43
-78.8,14.63
-78.4,15.18
-78.1,15.51
-77.4,15.93
-76.9,16.37
-76.5,16.58
-76.3,16.85
-75.5,17.28
-75.2,17.43
-75,17.76
-74.6,17.96
-74.4,18.3
