mVTris,TTris
-82.5,11
-82.1,11.5
-81.6,11.9
-81.3,12.2
-81,12.5
-80.7,12.8
-80.3,13.2
-79.9,13.6
-79.6,13.8
-79.2,14.1
-78.8,14.5
-78.4,14.7
-78.1,15
-77.7,15.2
-77.5,15.5
-77,15.9
-76.6,16.3
-76.1,16.7
-75.5,17.1
-75.3,17.3
-74.8,17.7
