mVTris,TTris
-81.6,12.08
-81,13.08
-80.6,13.38
-80.1,13.88
-79.3,14.78
-78.5,15.26
-77.8,15.97
-77.1,16.36
-76.5,17.01
-75.8,17.1
-75.2,18.12
-74.8,18.36
-73.9,19.01
-73.5,19.34
-72.7,20
-72.1,20.37
