mVTris,TTris
-86.6,8.99
-85.7,9.78
-85.2,10.17
-84.8,10.3
-83.9,11.58
-83.3,11.96
-82.3,12.73
-81.5,13.62
-80.8,14.11
-80.1,14.66
-79,15.28
-78.1,15.67
-77.5,16.41
-76.9,16.78
-76.1,17.62
-75,18.03
-74.3,18.74
