mVTris,TTris
-80.7,12.95
-80.4,13.357
-79,14.315
-78.7,14.64
-78.2,15.094
-77.9,15.314
-77.4,15.706
-76.8,16.128
-76.2,16.568
-76,16.815
-75.6,17.027
-75.3,17.367
-74.9,17.668
