mVTris,TTris
-83.4,10.81
-82.4,12.04
-81.4,12.56
-80.6,13.12
-79.7,14.06
-79.2,14.47
-78.8,14.89
-78.1,15.29
-77.8,15.87
-77.4,16.1
-76.6,16.61
-76.2,16.85
-75.6,17.25
-74.8,17.86
-74.3,18.32
-73.6,19.05
