mVTris,TTris
-83.7,11.38
-81.8,12.79
-81.3,13.02
-80.3,13.84
-79.6,14.37
-78.9,14.94
-78.2,15.47
-77.5,15.95
-76.9,16.46
-76.2,16.95
-75.6,17.48
-75,17.97
-74.4,18.44
-73.7,18.89
-73.1,19.46
-72.4,19.99
