mVTris,TTris
-85.1,8.1
-84.3,9.8
-83.9,10.2
-83.4,10.6
-83,11
-82.3,11.7
-81.6,12.3
-81.3,12.6
-80.6,13.2
-80.1,13.6
-79.5,14
-79,14.5
-78.4,14.9
-77.6,15.5
-76.9,16.1
-76.3,16.5
-76,17
-75.4,17.4
