mVTris,TTris
-80.2,13.6
-79.9,14.09
-79.5,14.49
-79,14.89
-78.6,15.23
-78,15.85
-77.5,16.28
-77,16.67
-76.4,17.13
-75.7,17.71
-75.3,18.11
-74.8,18.51
