mVTris,TTris
-80.3,13.11
-79.7,13.46
-79.4,13.74
-79.1,13.99
-78.9,14.17
-78.6,14.43
-78.1,14.94
-77.8,15.22
-77,15.83
-76.5,16.14
-75.9,16.64
-75.4,17.12
-74.7,17.61
-74.3,18.12
-73.9,18.37
