"Treatment","mean.Salinity","sem.Salinity","mean.Temperature","sem.Temperature","mean.pH","sem.pH","mean.CO2","sem.CO2","mean.pCO2","sem.pCO2","mean.HCO3","sem.HCO3","mean.CO3","sem.CO3","mean.DIC","sem.DIC","mean.TA","sem.TA","mean.Aragonite.Sat","sem.Aragonite.Sat"
"tank.Ambient",29.19,0.0152752523165188,17.57,0.0305505046330383,7.69007208352724,0.00259914804930449,33.9057324395779,0.220613664029188,949.283775738801,6.51290717237068,1913.10072330295,1.66778495375211,66.6506012160539,0.298919060858424,2013.65705695858,1.58929000745364,2077.31117358334,0.923846280372931,1.05350426182381,0.00472993687780324
"tank.Moderate",29.1766666666667,0.0202758751009941,17.7533333333333,0.0272845092395748,7.24342416850926,0.00486413094682547,99.5586472924968,1.09192576042216,2802.15306469682,32.8338222186144,2016.38825013718,1.58111942162346,25.2868684088307,0.24337699089315,2141.23376583851,2.16250667031958,2078.61174916094,1.44365851738299,0.399996319195437,0.00383487239201563
"tray.Ambient",29.26,NA,18.79,NA,7.54376261793241,NA,46.692411673884,NA,1354.52927230635,NA,1934.03724144868,NA,50.472655578859,NA,2031.20230870143,NA,2058.43791991255,NA,0.801538204366091,NA
"tray.Elevated",29.36,NA,19.4,NA,7.15176850776132,NA,116.765364134074,NA,3448.25735357962,NA,1989.63073747694,NA,21.6012348809599,NA,2127.99733649197,NA,2042.84608798611,NA,0.343810075102031,NA
