"Treatment","mean.Salinity","sem.Salinity","mean.Temperature","sem.Temperature","mean.pH","sem.pH","mean.CO2","sem.CO2","mean.pCO2","sem.pCO2","mean.HCO3","sem.HCO3","mean.CO3","sem.CO3","mean.DIC","sem.DIC","mean.TA","sem.TA","mean.Aragonite.Sat","sem.Aragonite.Sat"
"tank.Ambient",29.17,0.0100000000000004,17.9733333333333,0.0218581284143399,7.8135514967141,0.00575159779729481,24.0868509160941,0.339677166951467,682.243461570115,10.0022798035499,1821.62844468227,2.33386747755493,85.5993471093224,0.978575642942591,1931.31464270769,1.70046064656644,2033.256308,0.262477308019196,1.35524490842284,0.0153391667697012
"tank.Moderate",29.19,0.0115470053837923,18.09,0.0404145188432747,7.21437005251876,0.00987884580827308,103.12798949871,2.2421331524506,2931.27045003088,65.7754868698438,1967.76333766406,0.940737777996247,23.3943238010568,0.52904325183634,2094.28565096384,1.06042074149673,2025.57877333333,2.14845470282137,0.370537609499801,0.00832968257631175
"tank.Severe",29.1533333333333,0.00881917103688245,17.9866666666667,0.00333333333333267,6.97271194099044,0.000567480221694078,183.323446970716,0.233369216467955,5194.04370535353,6.49995574734676,2000.74517944128,1.59059962343439,13.5625181551057,0.0286967960928445,2197.6311445671,1.64827138216848,2034.133671,1.64108827054681,0.214750302924059,0.000450957659424219
