"Treatment","mean.Salinity","sem.Salinity","mean.Temperature","sem.Temperature","mean.pH","sem.pH","mean.CO2","sem.CO2","mean.pCO2","sem.pCO2","mean.HCO3","sem.HCO3","mean.CO3","sem.CO3","mean.DIC","sem.DIC","mean.TA","sem.TA","mean.Aragonite.Sat","sem.Aragonite.Sat"
"tank.Ambient",29.0966666666667,0.00333333333333385,16.9073333333333,0.0191688404564396,7.80517496127276,0.00378635245896137,25.4509274251213,0.243645799958583,698.522705518342,7.03622497333579,1842.15828598788,2.98398152226691,81.3795166904759,0.567426611097934,1948.98873010348,2.83525036720572,2043.3701088014,2.3032221025109,1.28340273062472,0.00884900332683217
"tank.Moderate",28.9633333333333,0.0917121099479835,16.8663333333333,0.0100388135642499,7.17474704578853,0.0125624290348523,117.942457497379,3.4117308396901,3230.82134062533,94.724393825292,1992.90419207312,1.96896569818847,20.5272432146788,0.530969140107922,2131.37389278518,4.83940435922119,2043.57061310384,0.704129970426229,0.323802122826062,0.00845292864355108
"tank.Severe",29.11,0.00577350269189613,16.8883333333333,0.00491030662088522,6.9492805495842,0.00208016687366057,199.956647071453,0.906839991954383,5485.36088489722,24.2060413243311,2016.38846516244,3.933295889098,12.4078926427637,0.0737015747220053,2228.75300487666,4.0956910379768,2046.92228496438,4.03805879234693,0.195658445893907,0.00115945521877527
"tray.Ambient",29.1725,0.0024999999999995,17.202,0.053583268532879,7.6783619120706,0.0194274463748309,33.5264454282562,1.53069230909038,928.661839075932,43.2791759373288,1820.14679511679,7.73791070420512,60.9964801763767,2.5919966598569,1914.66972072142,7.57596029067997,1972.02236045092,7.15737702993725,0.962803350312976,0.0408096499645034
"tray.Elevated",29.18,0.0147196014438796,17.287,0.0251694258973066,7.24596648359578,0.0152593068539634,95.8546091414439,4.10637884078062,2661.32106346985,112.643720000007,1927.66540210425,14.512902194282,23.917813135182,0.701105295617938,2047.43782438088,17.865652698092,1987.07978065393,12.9064955583598,0.37765347894138,0.0110912762530951
