sample,mass,salinity,Sample.ID,Type, Notes
20190811_JUNK,59.6281,28,JUNK,JUNK,
20190811_CRM1,59.164,33.623,CRM1,CRM, Bottle #180-0866; TA = 2224.47
20190811_CRM2,59.2034,33.623,CRM2,CRM, Bottle #180-0866; TA = 2224.47
