sample,mass,salinity,Sample.ID,Type, Notes
20190626_JUNK,59.8014,28,JUNK,JUNK,
20190626_CRM1,59.0729,33.623,CRM1,CRM,Bottle #180-0643; TA = 2224.47
20190626_CRM2,59.2344,33.623,CRM2,CRM,Bottle #180-0643; TA = 2224.47
