sample,mass,salinity,Sample.ID,Type, Notes
20190812_35,59.7345,29.28,35,tank,
20190812_1,59.5665,29.31,1,tank,
20190812_34,59.7599,29.29,34,tank,
20190812_31,59.8965,29.26,31,tank,
20190812_37,59.3134,29.3,37,tank,
20190812_48,59.6013,29.3,48,tank,
20190812_67,59.8172,29.27,67,tank,
20190812_44,59.5209,29.28,44,tank,
20190812_41,59.9602,29.25,41,tank,
