sample,mass,salinity,Sample.ID,Type, Notes
20190812_17,59.7227,29.24,17,tank,
20190812_70,59.9407,29.38,70,tank,
20190812_3,59.4645,29.29,3,tank,
20190812_5,59.9137,29.21,5,tank,
20190812_22,59.7655,29.19,22,tank,
20190812_65,59.8324,29.25,65,tank,
20190812_59,59.8539,29.28,59,tank,
20190812_68,59.838,29.28,68,tank,
20190812_49,59.8142,29.22,49,tank,
