sample,mass,salinity,Sample.ID,Type, Notes
20190812_JUNK,59.4962,28,JUNK,JUNK,
20190812_CRM1,59.2198,33.623,CRM1,CRM, Bottle #180-0866; TA = 2224.47
20190812_CRM2,59.861,33.623,CRM2,CRM, New bottle #180-0943; TA = 2224.47
