"Date","Tank","Treatment","Salinity","Temperature","pH","CO2","pCO2","HCO3","CO3","DIC","TA","Aragonite.Sat"
20190723,"20190723_H1_T7","tray.Elevated",29.16,18.55,7.17618890330006,109.048619930396,3140.17017721772,1925.30925712174,21.3037553045652,2055.6616323567,1978.143682,0.338089253450168
20190723,"20190723_H1_T8","tray.Ambient",29.12,17.934,7.6598857487014,34.5408271919581,976.950770475662,1831.52089136292,60.2407291491849,1926.30244770406,1981.193482,0.953754068148369
20190724,"20190724_10","tank.Moderate",29.07,17,7.28808164493447,89.7492525744406,2469.59997910263,1978.70058832255,26.6493188561491,2095.09915975314,2044.537308,0.420455094139473
20190724,"20190724_11","tank.Moderate",29.08,17,7.28460773639399,90.0422881642739,2477.80025752121,1969.56545266751,26.3217885064442,2085.92952933823,2034.655362,0.415275637418234
20190724,"20190724_14","tank.Severe",29.09,17,7.00669505315516,174.04190822146,4789.6251013887,2007.76826897488,14.1533326366205,2195.96350983296,2042.644771,0.223288989409305
20190724,"20190724_18","tank.Severe",29.09,17,7.00669505315516,174.333384950324,4797.6466776482,2011.13077938021,14.1770359339562,2199.64120026449,2046.054688,0.223662942699576
20190724,"20190724_23","tank.Severe",29.09,17,7.0084320074254,173.79844033621,4782.92475140275,2012.99445712062,14.2470405611947,2201.03993801802,2048.085359,0.224767365443772
20190724,"20190724_25","tank.Ambient",29.12,17,7.75705929790001,28.6240718462702,787.851279869164,1859.0920096206,73.8156794389581,1961.53176090583,2041.637499,1.16444699648034
20190724,"20190724_32","tank.Ambient",29.1,17,7.76748102352146,27.8302333183785,765.916934870586,1851.0198786237,75.241074919626,1954.0911868617,2037.151637,1.18700105620274
20190724,"20190724_35","tank.Ambient",29.09,17,7.75358538935952,28.5845829930368,786.634041157085,1841.11936970898,72.4631836462948,1942.16713634831,2020.658293,1.14320997472335
20190724,"20190724_4","tank.Moderate",29.04,17,7.2811338278535,91.1406610718602,2507.4717975424,1976.82296564946,26.1810638141642,2094.14469053548,2041.510659,0.413102703697391
20190725,"20190725_12","tank.Moderate",29.15,16.5,7.29493104606121,89.6022561979348,2430.49968528487,1985.99229836818,26.7153926275068,2102.30994719362,2052.018679,0.420616223374366
20190725,"20190725_17","tank.Severe",29.15,16.6,7.00526570938431,177.547391365614,4830.3843380385,2024.40226056149,14.0304544186398,2215.98010634574,2058.95167,0.220981615998972
20190725,"20190725_20","tank.Severe",29.14,16.6,6.98961154015706,184.058502716692,5007.25294015422,2024.11803033401,13.5283206753962,2221.7048537261,2057.424154,0.213078979901966
