"N","Treatment","Salinity","Temperature","pH","CO2","pCO2","HCO3","CO3","DIC","TA","Aragonite.Sat"
27,"tray.Ambient","29.3 ± 0.0426","16.8 ± 0.192","7.7 ± 0.0187","33.5 ± 1.36","921 ± 40.7","1850 ± 8.09","64.9 ± 2.6","1950 ± 7.63","2010 ± 6.55","1.02 ± 0.0405"
24,"tray.Elevated","29.3 ± 0.0448","17.3 ± 0.205","7.22 ± 0.00921","103 ± 2.24","2870 ± 64.7","1950 ± 5.26","22.9 ± 0.454","2070 ± 6.09","2010 ± 5.29","0.361 ± 0.00722"
